CustomerID,Recency,Frequency,Monetary,Churn Label,Churn Value,CLTV,Contract,tenure_group,risk_segment,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment,PCA1,PCA2
9191-MYQKX,65,3,75.15,Yes,1,3457,Month-to-month,New,Low Risk,2,2,3,7,3,High Risk,-0.5582253992794534,0.9925926914260051
8637-XJIVR,60,4,78.95,Yes,1,5806,Month-to-month,New,Low Risk,2,3,3,8,3,High Risk,-0.10671142438669691,0.9339942212176844
0278-YXOOG,67,1,21.05,Yes,1,2604,Month-to-month,New,Low Risk,1,1,1,3,2,New Passives,-2.2711279048414266,0.12204399563555632
4598-XLKNJ,47,6,98.5,Yes,1,5337,Month-to-month,Mid,Low Risk,3,4,5,12,3,High Risk,1.0923812614503887,0.8896547081496132
3192-NQECA,4,8,110.0,Yes,1,5034,Two year,Champion,Low Risk,5,5,5,15,1,Champions,2.648961140066548,-0.3499922267161416
0486-HECZI,17,6,96.75,Yes,1,5154,Month-to-month,Loyal,Low Risk,4,4,5,13,1,Champions,1.578444769844836,-0.21062758875363433
4846-WHAFZ,35,3,76.5,Yes,1,2793,Month-to-month,Loyal,Low Risk,3,2,3,8,3,High Risk,-0.008894180026647512,-0.060931210687916716
5299-RULOA,62,6,100.25,Yes,1,5998,Month-to-month,New,Low Risk,2,4,5,11,3,High Risk,0.8672073288664113,1.452993790614353
0404-SWRVG,69,3,74.4,Yes,1,4415,Month-to-month,New,Low Risk,1,2,3,6,3,High Risk,-0.6431026570688374,1.1244650337412219
4412-YLTKF,45,4,78.05,Yes,1,4638,Month-to-month,Mid,Low Risk,3,3,3,9,3,High Risk,0.13581010633586255,0.3834759889371144
6207-WIOLX,47,6,58.6,Yes,1,4190,Month-to-month,Mid,Low Risk,3,4,2,9,3,High Risk,0.2780645958863553,0.2878289171515174
3091-FYHKI,71,2,35.45,Yes,1,2301,Month-to-month,New,Low Risk,1,1,2,4,2,New Passives,-1.759812922177339,0.5454949975635185
2372-HWUHI,70,2,44.35,Yes,1,2570,Month-to-month,New,Low Risk,1,1,2,4,2,New Passives,-1.560780726809526,0.6439406263724564
0390-DCFDQ,71,2,70.45,Yes,1,3964,Month-to-month,New,Low Risk,1,1,3,5,3,High Risk,-1.045500057647485,1.073412358088164
4080-OGPJL,64,6,71.15,Yes,1,2662,Month-to-month,New,Low Risk,2,4,3,9,3,High Risk,0.23852192758257504,1.0856606423128061
2135-RXIHG,71,2,45.65,Yes,1,2600,Month-to-month,New,Low Risk,1,1,2,4,2,New Passives,-1.551641744514353,0.699345199773558
3874-EQOEP,65,5,95.0,Yes,1,2786,Month-to-month,New,Low Risk,2,3,5,10,3,High Risk,0.4208856692178618,1.4181289701519946
0867-MKZVY,52,4,82.4,Yes,1,5719,Month-to-month,Mid,Low Risk,3,3,4,10,3,High Risk,0.10284052221587757,0.6996620752450525
3376-BMGFE,68,2,70.9,Yes,1,4287,Month-to-month,New,Low Risk,1,1,3,5,3,High Risk,-0.9841381199414356,0.9728112241214938
3445-HXXGF,14,4,45.3,Yes,1,5444,Month-to-month,Loyal,Low Risk,4,3,2,9,0,Loyal Basics,0.0065891445340898296,-1.2201864701552911
1875-QIVME,70,7,104.4,Yes,1,4690,Month-to-month,New,Low Risk,1,5,5,11,3,High Risk,1.0997601333687257,1.8650252798579854
0691-JVSYA,19,5,94.85,Yes,1,4328,One year,Loyal,Low Risk,4,3,5,12,1,Champions,1.2178856941886513,-0.2307593904331059
2656-FMOKZ,57,3,74.45,Yes,1,5717,Month-to-month,Mid,Low Risk,2,2,3,7,3,High Risk,-0.4333705494711331,0.6956646298483081
2070-FNEXE,65,3,76.45,Yes,1,4419,Month-to-month,New,Low Risk,2,2,3,7,3,High Risk,-0.5316937785969159,1.0122010505312062
6317-YPKDH,71,2,29.95,Yes,1,4534,Month-to-month,New,Low Risk,1,1,2,4,2,New Passives,-1.872062086603459,0.46253655519536
9367-WXLCH,64,4,84.5,Yes,1,2152,Month-to-month,New,Low Risk,2,3,4,9,3,High Risk,-0.06301236656070736,1.1608916884273373
1918-ZBFQJ,59,4,79.25,Yes,1,5142,Month-to-month,Mid,Low Risk,2,3,4,9,3,High Risk,-0.08319610430336213,0.9027230128691379
1024-GUALD,71,1,24.8,Yes,1,4851,Month-to-month,New,Low Risk,1,1,1,3,2,New Passives,-2.264164937191258,0.32179142716108455
2472-OVKUP,66,5,91.0,Yes,1,2283,Month-to-month,New,Low Risk,2,3,4,9,3,High Risk,0.321857274884228,1.393591771816507
1285-OKIPP,71,3,79.9,Yes,1,3394,Month-to-month,New,Low Risk,1,2,4,7,3,High Risk,-0.565638769417447,1.2790159047011813
7825-ECJRF,53,7,106.6,Yes,1,3764,Month-to-month,Mid,Low Risk,2,5,5,12,3,High Risk,1.440334651724373,1.2896730137749401
7841-TZDMQ,70,2,46.0,Yes,1,2667,Month-to-month,New,Low Risk,1,1,2,4,2,New Passives,-1.52710597748169,0.6688281590829039
9408-SSNVZ,68,2,70.15,Yes,1,2227,Month-to-month,New,Low Risk,1,1,3,5,3,High Risk,-0.999444824181361,0.9614987092531085
0742-MOABM,68,3,50.05,Yes,1,3394,Month-to-month,New,Low Risk,1,2,2,5,2,New Passives,-1.1226676830043858,0.7213891700517467
2232-DMLXU,71,3,55.2,Yes,1,3638,Month-to-month,New,Low Risk,1,2,2,5,3,High Risk,-1.0697395623856583,0.9064570817023601
8937-RDTHP,71,4,84.6,Yes,1,2484,Month-to-month,New,Low Risk,1,3,4,8,3,High Risk,-0.18271994137360348,1.4129735238144254
1251-KRREG,70,4,54.4,Yes,1,2556,Month-to-month,New,Low Risk,1,3,2,6,3,High Risk,-0.7816772603805697,0.9216600441515452
0094-OIFMO,61,5,95.0,Yes,1,5980,Month-to-month,New,Low Risk,2,3,5,10,3,High Risk,0.4904562227673204,1.2749441129683927
9947-OTFQU,57,3,74.4,Yes,1,4616,Month-to-month,Mid,Low Risk,2,2,3,7,3,High Risk,-0.4343909964204614,0.6949104621904159
0322-YINQP,71,3,48.55,Yes,1,5687,Month-to-month,New,Low Risk,1,2,2,5,2,New Passives,-1.2054590066463307,0.8061527832026774
4629-NRXKX,70,2,70.4,Yes,1,5687,Month-to-month,New,Low Risk,1,1,3,5,3,High Risk,-1.0291278662094487,1.0368619761343711
9514-JDSKI,71,3,40.2,Yes,1,5828,Month-to-month,New,Low Risk,1,2,2,5,2,New Passives,-1.375873647184167,0.680206784334655
4959-JOSRX,70,2,44.6,Yes,1,4884,Month-to-month,New,Low Risk,1,1,2,4,2,New Passives,-1.555678492062884,0.6477114646619182
7273-TEFQD,69,3,41.15,Yes,1,2314,Month-to-month,New,Low Risk,1,2,2,5,2,New Passives,-1.3216998783721987,0.6229435412428086
3606-TWKGI,59,7,106.9,Yes,1,2494,Month-to-month,Mid,Low Risk,2,5,5,12,3,High Risk,1.3421015030961552,1.5089753054976975
6323-AYBRX,13,1,19.35,Yes,1,5084,Two year,Loyal,Low Risk,4,1,1,6,0,Loyal Basics,-1.3666206282008986,-1.8365932767114108
4385-GZQXV,56,5,94.45,Yes,1,3810,Month-to-month,Mid,Low Risk,2,3,5,10,3,High Risk,0.5661944982615319,1.0876671972520742
6366-ZGQGL,71,1,24.8,Yes,1,5087,Month-to-month,New,Low Risk,1,1,1,3,2,New Passives,-2.264164937191258,0.32179142716108455
5940-AHUHD,71,2,70.6,Yes,1,3338,Month-to-month,New,Low Risk,1,1,3,5,3,High Risk,-1.0424387167995002,1.075674861061841
6432-TWQLB,67,5,85.4,Yes,1,3676,Month-to-month,New,Low Risk,1,3,4,8,3,High Risk,0.19017457817208683,1.3449212084284645
4484-GLZOU,20,7,105.05,Yes,1,4839,Month-to-month,Loyal,Low Risk,4,5,5,14,1,Champions,1.9826578630782279,0.08501874461556064
9512-UIBFX,54,5,95.15,Yes,1,4643,Month-to-month,Mid,Low Risk,2,3,5,10,3,High Risk,0.6152660323268583,1.026633115870766
5583-SXDAG,71,2,70.0,Yes,1,4094,Month-to-month,New,Low Risk,1,1,3,5,3,High Risk,-1.0546840801914403,1.0666248491671328
3488-PGMQJ,64,3,74.5,Yes,1,4345,Month-to-month,New,Low Risk,2,2,3,7,3,High Risk,-0.5540985712333575,0.946992297577504
3580-REOAC,62,2,44.85,Yes,1,4061,Month-to-month,New,Low Risk,2,1,2,5,2,New Passives,-1.4114351502173248,0.36511258858417583
7534-BFESC,48,3,76.1,Yes,1,2018,Month-to-month,Mid,Low Risk,3,2,3,8,3,High Risk,-0.2431620546570153,0.398386233895651
6390-DSAZX,71,3,73.6,Yes,1,2565,Month-to-month,New,Low Risk,1,2,3,6,3,High Risk,-0.6942150850328208,1.183990779806745
8098-LLAZX,68,5,95.45,Yes,1,3677,Month-to-month,New,Low Risk,1,3,5,9,3,High Risk,0.377891776599723,1.5323051219607273
0265-EDXBD,40,3,74.9,Yes,1,4105,Month-to-month,Mid,Low Risk,3,2,3,8,3,High Risk,-0.12851167434197835,0.09391649573903069
7563-BIUPC,67,3,80.6,Yes,1,5715,Month-to-month,New,Low Risk,1,2,4,7,3,High Risk,-0.4817819585773914,1.1463893947280723
2321-OMBXY,34,7,80.3,Yes,1,2071,One year,Loyal,Low Risk,3,5,4,12,1,Champions,1.2340396857375828,0.2128527541014542
2840-XANRC,48,5,93.15,Yes,1,2212,Month-to-month,Mid,Low Risk,3,3,4,10,3,High Risk,0.6788039846779118,0.7816891237796691
5020-ZSTTY,18,8,82.45,Yes,1,4149,One year,Loyal,Low Risk,4,5,4,13,1,Champions,1.8431979335635151,-0.26439160607221956
5804-LEPIM,70,2,70.35,Yes,1,2671,Month-to-month,New,Low Risk,1,1,3,5,3,High Risk,-1.0301483131587774,1.0361078084764785
0122-OAHPZ,65,3,73.85,Yes,1,2473,Month-to-month,New,Low Risk,2,2,3,7,3,High Risk,-0.584757019961991,0.9729843323208038
2868-SNELZ,70,4,80.6,Yes,1,2683,Month-to-month,New,Low Risk,1,3,4,8,3,High Risk,-0.24696305893250775,1.316843896887137
4322-RCYMT,4,7,75.8,Yes,1,4903,One year,Champion,Low Risk,5,5,3,13,1,Champions,1.6639786119189703,-0.9289087639858725
6680-NENYN,29,7,104.6,Yes,1,5250,Two year,Loyal,Low Risk,4,5,5,14,1,Champions,1.8169400950479904,0.4003971643576339
1343-EHPYB,9,7,103.4,Yes,1,4352,Month-to-month,Champion,Low Risk,5,5,5,15,1,Champions,2.1403021360114036,-0.3336271453497923
2034-GDRCN,70,4,90.4,Yes,1,4157,Month-to-month,New,Low Risk,1,3,4,8,3,High Risk,-0.046955456864148426,1.4646607578340378
0219-YTZUE,68,5,84.8,Yes,1,4939,Month-to-month,New,Low Risk,1,3,4,8,3,High Risk,0.16053657639278165,1.3716674108296567
0623-IIHUG,51,3,41.9,Yes,1,4778,Month-to-month,Mid,Low Risk,3,2,2,7,2,New Passives,-0.9933256831597093,-0.01007580121501524
4572-DVCGN,62,3,80.25,Yes,1,3598,Month-to-month,New,Low Risk,2,2,4,8,3,High Risk,-0.40196189528586646,0.9621291496433232
9057-MSWCO,45,2,30.75,Yes,1,2927,Month-to-month,Mid,Low Risk,3,1,2,6,2,New Passives,-1.4035263373427238,-0.4560983339717756
1010-DIAUQ,67,5,96.5,Yes,1,5383,Month-to-month,New,Low Risk,1,3,5,9,3,High Risk,0.41671380092298316,1.512346428480566
0259-GBZSH,70,4,85.65,Yes,1,3878,Month-to-month,New,Low Risk,1,3,4,8,3,High Risk,-0.1438979170503429,1.3930148303342644
9601-BRXPO,47,7,104.95,Yes,1,3642,Month-to-month,Mid,Low Risk,3,5,5,13,1,Champions,1.511015732720725,1.0500081952890896
6905-NIQIN,71,3,50.65,Yes,1,2431,Month-to-month,New,Low Risk,1,2,2,5,2,New Passives,-1.1626002347745394,0.8378278248341562
5167-ZFFMM,71,5,90.85,Yes,1,3424,Month-to-month,New,Low Risk,1,3,4,8,3,High Risk,0.2318327420994194,1.5703103403223324
4895-TMWIR,61,1,19.95,Yes,1,5888,Month-to-month,New,Low Risk,2,1,1,4,2,New Passives,-2.1892219074024624,-0.10932497861347826
0533-BNWKF,17,5,85.45,Yes,1,5502,Month-to-month,Loyal,Low Risk,4,3,4,11,1,Champions,1.0608269444896488,-0.4441353387086687
6599-CEBNN,38,3,73.95,Yes,1,5795,Month-to-month,Mid,Low Risk,3,2,3,8,3,High Risk,-0.113114889604488,0.007994881647274972
0979-PHULV,3,6,99.45,Yes,1,4020,Month-to-month,Champion,Low Risk,5,4,5,14,1,Champions,1.8770458425316732,-0.6710495353700545
4800-VHZKI,71,1,19.9,Yes,1,3351,Month-to-month,New,Low Risk,1,1,1,3,2,New Passives,-2.3641687382254375,0.2478829966876343
7989-CHGTL,71,1,19.6,Yes,1,3448,Month-to-month,New,Low Risk,1,1,1,3,2,New Passives,-2.370291419921408,0.24335799074028025
0334-GDDSO,69,4,81.35,Yes,1,2818,Month-to-month,New,Low Risk,1,3,4,8,3,High Risk,-0.21426371630521765,1.2923601974596215
0578-SKVMF,50,4,83.3,Yes,1,3804,Month-to-month,Mid,Low Risk,3,3,4,10,3,High Risk,0.1559938440785173,0.6416446644953138
5564-NEMQO,71,3,75.3,Yes,1,4902,Month-to-month,New,Low Risk,1,2,3,6,3,High Risk,-0.6595198887556565,1.209632480175085
9063-ZGTUY,11,1,19.4,Yes,1,4221,Month-to-month,Champion,Low Risk,5,1,1,7,0,Loyal Basics,-1.330814904476841,-1.90743153764532
2957-LOLHO,60,2,45.4,Yes,1,2887,Month-to-month,New,Low Risk,2,1,2,5,2,New Passives,-1.3654249569999835,0.30181600422919075
7752-XUSCI,12,7,105.9,Yes,1,4105,Month-to-month,Loyal,Low Risk,5,5,5,15,1,Champions,2.1391465683157276,-0.1885301195674733
4110-PFEUZ,71,2,69.55,Yes,1,2792,Month-to-month,New,Low Risk,1,1,3,5,3,High Risk,-1.0638681027353958,1.0598373402461017
0256-LTHVJ,44,3,81.05,Yes,1,5201,Month-to-month,Mid,Low Risk,3,2,4,9,3,High Risk,-0.07256725312404863,0.3298639748433917
0880-TKATG,68,6,101.15,Yes,1,4417,Month-to-month,New,Low Risk,1,4,5,10,3,High Risk,0.7812195436301339,1.6813460942318188
3811-VBYBZ,65,6,99.8,Yes,1,2031,Month-to-month,New,Low Risk,2,4,5,11,3,High Risk,0.805845391160362,1.5535949245810234
4640-UHDOS,59,3,55.95,Yes,1,4498,Month-to-month,Mid,Low Risk,2,2,2,6,3,High Risk,-0.8457211974973566,0.48821502501993946
3583-EKAPL,71,3,55.0,Yes,1,4877,Month-to-month,New,Low Risk,1,2,2,5,3,High Risk,-1.0738213501829719,0.9034404110707906
9399-APLBT,71,3,74.7,Yes,1,5980,Month-to-month,New,Low Risk,1,2,3,6,3,High Risk,-0.6717652521475966,1.200582468280377
2359-KMGLI,48,4,80.25,Yes,1,4418,Month-to-month,Mid,Low Risk,3,3,4,10,3,High Risk,0.1285318569442165,0.5240480087720794
0306-JAELE,67,5,96.1,Yes,1,4192,Month-to-month,New,Low Risk,1,3,5,9,3,High Risk,0.4085502253283562,1.5063130872174273
6227-HWPWX,57,2,69.0,Yes,1,5671,Month-to-month,Mid,Low Risk,2,1,3,6,3,High Risk,-0.8315960817549023,0.5503944958666787
0447-BEMNG,24,4,45.3,Yes,1,4926,Month-to-month,Loyal,Low Risk,4,3,2,9,0,Loyal Basics,-0.1673372393395569,-0.862224327196286
5949-XIKAE,64,4,83.55,Yes,1,2879,Month-to-month,New,Low Risk,2,3,4,9,3,High Risk,-0.0824008585979463,1.1465625029273825
8372-JUXUI,71,3,74.35,Yes,1,2814,Month-to-month,New,Low Risk,1,2,3,6,3,High Risk,-0.6789083807928954,1.1953032946751303
0388-EOPEX,70,3,74.4,Yes,1,4263,Month-to-month,New,Low Risk,1,2,3,6,3,High Risk,-0.6604952954562021,1.1602612480371222
8205-OTCHB,50,4,43.75,Yes,1,3099,One year,Mid,Low Risk,3,3,2,8,3,High Risk,-0.6511796928402176,0.045098047102464504
6235-VDHOM,67,2,28.45,Yes,1,4099,Month-to-month,New,Low Risk,1,1,2,4,2,New Passives,-1.8331049415338512,0.2967266682749875
7783-YKGDV,60,7,99.7,Yes,1,2538,Month-to-month,New,Low Risk,2,5,5,12,3,High Risk,1.1777645040055063,1.4361713770570996
5609-CEBID,52,6,94.1,Yes,1,2666,Month-to-month,Mid,Low Risk,3,4,4,11,3,High Risk,0.9156187379726693,1.0022690257345888
7218-HKQFK,70,5,94.2,Yes,1,3715,Month-to-month,New,Low Risk,1,3,4,8,3,High Risk,0.3175953260917846,1.5850433591052195
4636-QRJKY,66,4,80.5,Yes,1,5032,Month-to-month,New,Low Risk,2,3,4,9,3,High Risk,-0.17943339928170576,1.1721507043877502
5956-VKDTT,67,3,74.35,Yes,1,5273,Month-to-month,New,Low Risk,1,2,3,6,3,High Risk,-0.6093378272434368,1.0521184374915284
9412-GHEEC,32,7,104.8,Yes,1,3492,Month-to-month,Loyal,Low Risk,4,5,5,14,1,Champions,1.76884396768321,0.5108024778769049
0257-ZESQC,45,3,75.2,Yes,1,4517,Month-to-month,Mid,Low Risk,3,2,3,8,3,High Risk,-0.2093521845828316,0.27742257316588725
6825-UYPFK,49,3,75.6,Yes,1,2115,Month-to-month,Mid,Low Risk,3,2,3,8,3,High Risk,-0.2707591625376636,0.426640771612628
8397-MVTAZ,38,6,100.05,Yes,1,2568,Month-to-month,Mid,Low Risk,3,4,5,12,1,Champions,1.2805488623658499,0.5908679768811714
9282-IZGQK,71,4,85.0,Yes,1,5679,Month-to-month,New,Low Risk,1,3,4,8,3,High Risk,-0.17455636577897643,1.4190068650775642
1342-JPNKI,62,4,86.05,Yes,1,2966,Month-to-month,New,Low Risk,2,3,4,9,3,High Risk,0.0034067656432011507,1.112678457230199
2817-NTQDO,59,4,45.55,Yes,1,4856,Month-to-month,Mid,Low Risk,2,3,2,7,3,High Risk,-0.7709773481506786,0.39441401144969357
6986-IJDHX,33,4,86.3,Yes,1,3364,Month-to-month,Loyal,Low Risk,3,3,4,10,3,High Risk,0.5128955136234185,0.07835908093854611
5301-GAUUY,40,4,80.35,Yes,1,5974,Month-to-month,Mid,Low Risk,3,3,4,10,3,High Risk,0.26971385794179054,0.23918662972065993
0939-YAPAF,37,6,100.25,Yes,1,2744,Month-to-month,Mid,Low Risk,3,4,5,12,1,Champions,1.3020232885505278,0.5580884332168403
4710-FDUIZ,16,6,100.3,Yes,1,5170,One year,Loyal,Low Risk,4,4,5,13,1,Champions,1.6682891416345145,-0.19287789933917804
1218-VKFPE,60,1,19.0,Yes,1,3535,Month-to-month,New,Low Risk,2,1,1,4,2,New Passives,-2.1912177610523367,-0.1594503784093335
3627-FHKBK,71,3,75.3,Yes,1,3244,Month-to-month,New,Low Risk,1,2,3,6,3,High Risk,-0.6595198887556565,1.209632480175085
2865-TCHJW,68,5,89.2,Yes,1,5808,Month-to-month,New,Low Risk,1,3,4,8,3,High Risk,0.25033590793367766,1.4380341647241837
5192-EBGOV,71,4,85.7,Yes,1,4880,Month-to-month,New,Low Risk,1,3,4,8,3,High Risk,-0.16027010848837933,1.4295652122880573
0719-SYFRB,60,6,61.65,Yes,1,5670,Month-to-month,New,Low Risk,2,4,3,9,3,High Risk,0.11420756075964465,0.7991839301296574
3419-SNJJD,7,7,105.25,Yes,1,4196,Month-to-month,Champion,Low Risk,5,5,5,15,1,Champions,2.212843949911282,-0.37731537059957676
6543-CPZMK,63,2,29.95,Yes,1,2573,Month-to-month,New,Low Risk,2,1,2,5,2,New Passives,-1.7329209795045417,0.1761668408281561
4765-OXPPD,63,6,65.0,Yes,1,3983,Month-to-month,New,Low Risk,2,4,3,9,3,High Risk,0.13039959120255096,0.9571018060961465
1009-IRMNA,65,1,20.0,Yes,1,4479,Month-to-month,New,Low Risk,2,1,1,4,2,New Passives,-2.257772014002593,0.03461404622801599
4554-YGZIH,23,5,90.05,Yes,1,5059,Month-to-month,Loyal,Low Risk,4,3,4,11,1,Champions,1.05035223350367,-0.15997462840716956
5099-BAILX,29,8,110.75,Yes,1,2728,Month-to-month,Loyal,Low Risk,4,5,5,14,1,Champions,2.2294518846223568,0.5562256455497563
7207-RMRDB,7,7,105.5,Yes,1,5720,Month-to-month,Champion,Low Risk,5,5,5,15,1,Champions,2.217946184657924,-0.373544532310115
4913-EHYUI,16,7,104.55,Yes,1,6268,One year,Loyal,Low Risk,4,5,5,14,1,Champions,2.042023947134403,-0.06570778914696498
0195-IESCP,62,4,85.25,Yes,1,3573,Month-to-month,New,Low Risk,2,3,4,9,3,High Risk,-0.012920385546052656,1.1006117747039215
4580-TMHJU,29,3,56.15,Yes,1,2152,Month-to-month,Loyal,Low Risk,4,2,2,8,0,Loyal Basics,-0.3198602580791031,-0.5826547332255065
0970-ETWGE,71,4,89.55,Yes,1,4996,Month-to-month,New,Low Risk,1,3,4,8,3,High Risk,-0.08169569339009551,1.487636121945768
1626-ERCMM,52,5,94.55,Yes,1,5604,Month-to-month,Mid,Low Risk,3,3,5,11,3,High Risk,0.6378059457096471,0.9459906753842567
0887-HJGAR,71,2,45.7,Yes,1,2295,Month-to-month,New,Low Risk,1,1,2,4,2,New Passives,-1.5506212975650246,0.7000993674314504
5644-PDMZC,70,5,89.5,Yes,1,2065,Month-to-month,New,Low Risk,1,3,4,8,3,High Risk,0.22167331285491845,1.5141515992633385
9576-ANLXO,69,2,69.55,Yes,1,2876,Month-to-month,New,Low Risk,1,1,3,5,3,High Risk,-1.0290828259606664,0.9882449116543005
2024-BASKD,71,3,74.6,Yes,1,3860,Month-to-month,New,Low Risk,1,2,3,6,3,High Risk,-0.6738061460462536,1.199074132964592
4160-AMJTL,64,1,19.65,Yes,1,5432,Month-to-month,New,Low Risk,2,1,1,4,2,New Passives,-2.2475225042605267,-0.006461341673130992
4464-JCOLN,70,1,19.85,Yes,1,2362,One year,New,Low Risk,1,1,1,3,2,New Passives,-2.3477965467874014,0.2113326147338414
5650-VDUDS,68,1,24.25,Yes,1,2038,Month-to-month,New,Low Risk,1,1,1,3,2,New Passives,-2.223211938471776,0.2061069400365675
7538-GWHML,70,2,69.65,Yes,1,2323,Month-to-month,New,Low Risk,1,1,3,5,3,High Risk,-1.0444345704493743,1.025549461265986
3859-CVCET,68,2,45.65,Yes,1,2864,Month-to-month,New,Low Risk,1,1,2,4,2,New Passives,-1.499463829352259,0.5919565568858567
3276-HDUEG,71,3,75.05,Yes,1,4838,Month-to-month,New,Low Risk,1,2,3,6,3,High Risk,-0.6646221235022982,1.2058616418856232
0823-HSCDJ,20,4,49.15,Yes,1,5597,Month-to-month,Loyal,Low Risk,4,3,2,9,0,Loyal Basics,-0.019192270691814298,-0.9473382747221769
0822-GAVAP,70,2,34.7,Yes,1,3146,Month-to-month,New,Low Risk,1,1,2,4,2,New Passives,-1.7577269880298998,0.4983862683992328
1448-PWKYE,71,3,80.0,Yes,1,2046,Month-to-month,New,Low Risk,1,2,4,7,3,High Risk,-0.5635978755187903,1.280524240016966
0067-DKWBL,70,3,49.25,Yes,1,3475,Month-to-month,New,Low Risk,1,2,2,5,2,New Passives,-1.1737801109683688,0.7809149161172698
2276-YDAVZ,69,3,75.1,Yes,1,4965,Month-to-month,New,Low Risk,1,2,3,6,3,High Risk,-0.6288163997782406,1.1350233809517145
5896-NPFWW,69,3,50.15,Yes,1,3273,Month-to-month,New,Low Risk,1,2,2,5,2,New Passives,-1.1380194274930935,0.7586937196634317
7133-VBDCG,47,4,79.85,Yes,1,4535,Month-to-month,Mid,Low Risk,3,3,4,10,3,High Risk,0.13776091973695423,0.48221845321303997
1029-QFBEN,71,1,19.55,Yes,1,3556,Month-to-month,New,Low Risk,1,1,1,3,2,New Passives,-2.371311866870736,0.24260382308238776
4952-YSOGZ,68,4,85.95,Yes,1,5640,Month-to-month,New,Low Risk,1,3,4,8,3,High Risk,-0.10298995857964349,1.3259474076898177
1589-AGTLK,69,2,45.35,Yes,1,2450,Month-to-month,New,Low Risk,1,1,2,4,2,New Passives,-1.5229791494355938,0.6232277652344029
5244-IRFIH,39,5,94.5,Yes,1,4333,Month-to-month,Mid,Low Risk,3,3,5,11,3,High Risk,0.8628897977960596,0.4798857218796579
2684-EIWEO,42,6,91.7,Yes,1,2482,Month-to-month,Mid,Low Risk,3,4,4,11,3,High Risk,1.0405636682785546,0.608106835196751
6439-GTPCA,27,5,87.25,Yes,1,5269,Month-to-month,Loyal,Low Risk,4,3,4,11,1,Champions,0.923636650791823,-0.05902316006553901
5138-WVKYJ,62,6,98.55,Yes,1,3658,Month-to-month,New,Low Risk,2,4,5,11,3,High Risk,0.832512132589247,1.427352090246013
