CustomerID,Churn Reason,Churn Theme,Sentiment_Score,Sentiment_Label
3091-FYHKI,Network reliability,Network Quality,0.0,Neutral
2372-HWUHI,Don't know,Other,0.0,Neutral
0390-DCFDQ,Don't know,Other,0.0,Neutral
4080-OGPJL,Don't know,Other,0.0,Neutral
2135-RXIHG,Poor expertise of online support,Customer Service,-0.1027,Negative
3874-EQOEP,Poor expertise of phone support,Customer Service,-0.1027,Negative
0867-MKZVY,Price too high,Pricing,0.0,Neutral
3376-BMGFE,Product dissatisfaction,Product & Offers,-0.4939,Negative
3445-HXXGF,Service dissatisfaction,Customer Service,-0.4939,Negative
1875-QIVME,Lack of self-service on Website,Customer Service,-0.3182,Negative
0691-JVSYA,Network reliability,Network Quality,0.0,Neutral
2656-FMOKZ,Limited range of services,Customer Service,-0.2263,Negative
2070-FNEXE,Lack of affordable download/upload speed,Network Quality,-0.3182,Negative
6317-YPKDH,Long distance charges,Other,-0.2732,Negative
9367-WXLCH,Extra data charges,Other,-0.2732,Negative
1918-ZBFQJ,Price too high,Pricing,0.0,Neutral
1024-GUALD,Product dissatisfaction,Product & Offers,-0.4939,Negative
2472-OVKUP,Service dissatisfaction,Customer Service,-0.4939,Negative
1285-OKIPP,Lack of self-service on Website,Customer Service,-0.3182,Negative
7825-ECJRF,Network reliability,Network Quality,0.0,Neutral
7841-TZDMQ,Don't know,Other,0.0,Neutral
9408-SSNVZ,Don't know,Other,0.0,Neutral
0742-MOABM,Don't know,Other,0.0,Neutral
2232-DMLXU,Poor expertise of online support,Customer Service,-0.1027,Negative
8937-RDTHP,Poor expertise of phone support,Customer Service,-0.1027,Negative
1251-KRREG,Price too high,Pricing,0.0,Neutral
0094-OIFMO,Product dissatisfaction,Product & Offers,-0.4939,Negative
9947-OTFQU,Service dissatisfaction,Customer Service,-0.4939,Negative
0322-YINQP,Lack of self-service on Website,Customer Service,-0.3182,Negative
4629-NRXKX,Network reliability,Network Quality,0.0,Neutral
9514-JDSKI,Limited range of services,Customer Service,-0.2263,Negative
4959-JOSRX,Lack of affordable download/upload speed,Network Quality,-0.3182,Negative
7273-TEFQD,Long distance charges,Other,-0.2732,Negative
3606-TWKGI,Extra data charges,Other,-0.2732,Negative
6323-AYBRX,Price too high,Pricing,0.0,Neutral
4385-GZQXV,Product dissatisfaction,Product & Offers,-0.4939,Negative
6366-ZGQGL,Service dissatisfaction,Customer Service,-0.4939,Negative
5940-AHUHD,Lack of self-service on Website,Customer Service,-0.3182,Negative
6432-TWQLB,Network reliability,Network Quality,0.0,Neutral
4484-GLZOU,Don't know,Other,0.0,Neutral
9512-UIBFX,Don't know,Other,0.0,Neutral
5583-SXDAG,Don't know,Other,0.0,Neutral
3488-PGMQJ,Poor expertise of online support,Customer Service,-0.1027,Negative
3580-REOAC,Poor expertise of phone support,Customer Service,-0.1027,Negative
7534-BFESC,Price too high,Pricing,0.0,Neutral
6390-DSAZX,Product dissatisfaction,Product & Offers,-0.4939,Negative
8098-LLAZX,Service dissatisfaction,Customer Service,-0.4939,Negative
0265-EDXBD,Lack of self-service on Website,Customer Service,-0.3182,Negative
7563-BIUPC,Network reliability,Network Quality,0.0,Neutral
2321-OMBXY,Limited range of services,Customer Service,-0.2263,Negative
2840-XANRC,Lack of affordable download/upload speed,Network Quality,-0.3182,Negative
5020-ZSTTY,Long distance charges,Other,-0.2732,Negative
5804-LEPIM,Extra data charges,Other,-0.2732,Negative
0122-OAHPZ,Price too high,Pricing,0.0,Neutral
2868-SNELZ,Product dissatisfaction,Product & Offers,-0.4939,Negative
4322-RCYMT,Service dissatisfaction,Customer Service,-0.4939,Negative
6680-NENYN,Lack of self-service on Website,Customer Service,-0.3182,Negative
1343-EHPYB,Network reliability,Network Quality,0.0,Neutral
2034-GDRCN,Don't know,Other,0.0,Neutral
0219-YTZUE,Don't know,Other,0.0,Neutral
0623-IIHUG,Don't know,Other,0.0,Neutral
4572-DVCGN,Poor expertise of online support,Customer Service,-0.1027,Negative
9057-MSWCO,Poor expertise of phone support,Customer Service,-0.1027,Negative
1010-DIAUQ,Price too high,Pricing,0.0,Neutral
0259-GBZSH,Product dissatisfaction,Product & Offers,-0.4939,Negative
9601-BRXPO,Service dissatisfaction,Customer Service,-0.4939,Negative
6905-NIQIN,Don't know,Other,0.0,Neutral
5167-ZFFMM,Network reliability,Network Quality,0.0,Neutral
4895-TMWIR,Limited range of services,Customer Service,-0.2263,Negative
0533-BNWKF,Lack of affordable download/upload speed,Network Quality,-0.3182,Negative
6599-CEBNN,Long distance charges,Other,-0.2732,Negative
0979-PHULV,Extra data charges,Other,-0.2732,Negative
4800-VHZKI,Price too high,Pricing,0.0,Neutral
7989-CHGTL,Product dissatisfaction,Product & Offers,-0.4939,Negative
0334-GDDSO,Service dissatisfaction,Customer Service,-0.4939,Negative
0578-SKVMF,Lack of self-service on Website,Customer Service,-0.3182,Negative
5564-NEMQO,Network reliability,Network Quality,0.0,Neutral
9063-ZGTUY,Don't know,Other,0.0,Neutral
2957-LOLHO,Don't know,Other,0.0,Neutral
7752-XUSCI,Don't know,Other,0.0,Neutral
4110-PFEUZ,Competitor had better devices,Competitor,0.4404,Positive
0256-LTHVJ,Competitor had better devices,Competitor,0.4404,Positive
0880-TKATG,Competitor had better devices,Competitor,0.4404,Positive
3811-VBYBZ,Competitor had better devices,Competitor,0.4404,Positive
4640-UHDOS,Competitor had better devices,Competitor,0.4404,Positive
3583-EKAPL,Competitor had better devices,Competitor,0.4404,Positive
9399-APLBT,Competitor had better devices,Competitor,0.4404,Positive
2359-KMGLI,Competitor had better devices,Competitor,0.4404,Positive
0306-JAELE,Competitor had better devices,Competitor,0.4404,Positive
6227-HWPWX,Competitor had better devices,Competitor,0.4404,Positive
0447-BEMNG,Price too high,Pricing,0.0,Neutral
5949-XIKAE,Product dissatisfaction,Product & Offers,-0.4939,Negative
8372-JUXUI,Service dissatisfaction,Customer Service,-0.4939,Negative
0388-EOPEX,Lack of self-service on Website,Customer Service,-0.3182,Negative
8205-OTCHB,Network reliability,Network Quality,0.0,Neutral
6235-VDHOM,Limited range of services,Customer Service,-0.2263,Negative
7783-YKGDV,Lack of affordable download/upload speed,Network Quality,-0.3182,Negative
5609-CEBID,Long distance charges,Other,-0.2732,Negative
7218-HKQFK,Don't know,Other,0.0,Neutral
4636-QRJKY,Price too high,Pricing,0.0,Neutral
5956-VKDTT,Product dissatisfaction,Product & Offers,-0.4939,Negative
9412-GHEEC,Service dissatisfaction,Customer Service,-0.4939,Negative
0257-ZESQC,Lack of self-service on Website,Customer Service,-0.3182,Negative
6825-UYPFK,Network reliability,Network Quality,0.0,Neutral
8397-MVTAZ,Don't know,Other,0.0,Neutral
9282-IZGQK,Don't know,Other,0.0,Neutral
1342-JPNKI,Don't know,Other,0.0,Neutral
2817-NTQDO,Poor expertise of online support,Customer Service,-0.1027,Negative
6986-IJDHX,Poor expertise of phone support,Customer Service,-0.1027,Negative
5301-GAUUY,Competitor had better devices,Competitor,0.4404,Positive
0939-YAPAF,Competitor offered higher download speeds,Competitor,0.0,Neutral
4710-FDUIZ,Competitor offered more data,Competitor,0.0,Neutral
1218-VKFPE,Competitor made better offer,Competitor,0.4404,Positive
3627-FHKBK,Competitor had better devices,Competitor,0.4404,Positive
2865-TCHJW,Competitor had better devices,Competitor,0.4404,Positive
5192-EBGOV,Competitor offered higher download speeds,Competitor,0.0,Neutral
0719-SYFRB,Competitor offered higher download speeds,Competitor,0.0,Neutral
3419-SNJJD,Competitor offered higher download speeds,Competitor,0.0,Neutral
6543-CPZMK,Competitor offered more data,Competitor,0.0,Neutral
4765-OXPPD,Competitor offered more data,Competitor,0.0,Neutral
1009-IRMNA,Competitor offered more data,Competitor,0.0,Neutral
4554-YGZIH,Competitor made better offer,Competitor,0.4404,Positive
5099-BAILX,Competitor made better offer,Competitor,0.4404,Positive
7207-RMRDB,Competitor had better devices,Competitor,0.4404,Positive
4913-EHYUI,Competitor offered higher download speeds,Competitor,0.0,Neutral
0195-IESCP,Competitor offered more data,Competitor,0.0,Neutral
4580-TMHJU,Don't know,Other,0.0,Neutral
0970-ETWGE,Competitor had better devices,Competitor,0.4404,Positive
1626-ERCMM,Competitor had better devices,Competitor,0.4404,Positive
0887-HJGAR,Competitor offered higher download speeds,Competitor,0.0,Neutral
5644-PDMZC,Competitor offered higher download speeds,Competitor,0.0,Neutral
9576-ANLXO,Competitor offered higher download speeds,Competitor,0.0,Neutral
2024-BASKD,Competitor offered more data,Competitor,0.0,Neutral
4160-AMJTL,Competitor offered more data,Competitor,0.0,Neutral
4464-JCOLN,Competitor offered more data,Competitor,0.0,Neutral
5650-VDUDS,Competitor made better offer,Competitor,0.4404,Positive
7538-GWHML,Competitor made better offer,Competitor,0.4404,Positive
3859-CVCET,Competitor had better devices,Competitor,0.4404,Positive
3276-HDUEG,Competitor offered higher download speeds,Competitor,0.0,Neutral
0823-HSCDJ,Competitor offered more data,Competitor,0.0,Neutral
0822-GAVAP,Competitor made better offer,Competitor,0.4404,Positive
1448-PWKYE,Competitor had better devices,Competitor,0.4404,Positive
0067-DKWBL,Competitor had better devices,Competitor,0.4404,Positive
2276-YDAVZ,Competitor offered higher download speeds,Competitor,0.0,Neutral
5896-NPFWW,Competitor offered higher download speeds,Competitor,0.0,Neutral
7133-VBDCG,Competitor offered higher download speeds,Competitor,0.0,Neutral
1029-QFBEN,Competitor offered more data,Competitor,0.0,Neutral
4952-YSOGZ,Competitor offered more data,Competitor,0.0,Neutral
1589-AGTLK,Competitor offered more data,Competitor,0.0,Neutral
5244-IRFIH,Competitor made better offer,Competitor,0.4404,Positive
2684-EIWEO,Competitor made better offer,Competitor,0.4404,Positive
6439-GTPCA,Competitor had better devices,Competitor,0.4404,Positive
5138-WVKYJ,Competitor offered higher download speeds,Competitor,0.0,Neutral
6683-VLCTZ,Competitor offered more data,Competitor,0.0,Neutral
2189-WWOEW,Don't know,Other,0.0,Neutral
1894-IGFSG,Competitor had better devices,Competitor,0.4404,Positive
7379-POKDZ,Competitor had better devices,Competitor,0.4404,Positive
0236-HFWSV,Competitor offered higher download speeds,Competitor,0.0,Neutral
3900-AQPHZ,Competitor offered higher download speeds,Competitor,0.0,Neutral
5842-POCOP,Competitor offered higher download speeds,Competitor,0.0,Neutral
2037-XJFUP,Competitor offered more data,Competitor,0.0,Neutral
7314-OXENN,Competitor offered more data,Competitor,0.0,Neutral
0322-CHQRU,Competitor offered more data,Competitor,0.0,Neutral
4678-DVQEO,Competitor made better offer,Competitor,0.4404,Positive
0691-IFBQW,Competitor made better offer,Competitor,0.4404,Positive
3009-JWMPU,Attitude of service provider,Customer Service,0.0,Neutral
1450-GALXR,Attitude of service provider,Customer Service,0.0,Neutral
3138-BKYAV,Attitude of service provider,Customer Service,0.0,Neutral
4289-DTDKW,Attitude of support person,Customer Service,0.4019,Positive
1820-TQVEV,Attitude of support person,Customer Service,0.4019,Positive
2239-JALAW,Attitude of support person,Customer Service,0.4019,Positive
4853-RULSV,Attitude of service provider,Customer Service,0.0,Neutral
6275-YDUVO,Attitude of service provider,Customer Service,0.0,Neutral
0115-TFERT,Attitude of service provider,Customer Service,0.0,Neutral
2311-QYMUQ,Attitude of support person,Customer Service,0.4019,Positive
3643-AHCFP,Competitor made better offer,Competitor,0.4404,Positive
3104-OWCGK,Moved,Personal Reasons,0.0,Neutral
9101-BWFSS,Moved,Personal Reasons,0.0,Neutral
9231-ZJYAM,Moved,Personal Reasons,0.0,Neutral
6982-SSHFK,Competitor offered higher download speeds,Competitor,0.0,Neutral
0727-BMPLR,Competitor offered higher download speeds,Competitor,0.0,Neutral
1038-ZAGBI,Competitor offered higher download speeds,Competitor,0.0,Neutral
3027-ZTDHO,Don't know,Other,0.0,Neutral
2382-BCKQJ,Competitor offered higher download speeds,Competitor,0.0,Neutral
2207-NHRJK,Competitor offered higher download speeds,Competitor,0.0,Neutral
0947-MUGVO,Competitor offered higher download speeds,Competitor,0.0,Neutral
9944-HKVVB,Competitor offered higher download speeds,Competitor,0.0,Neutral
4124-MMETB,Competitor offered higher download speeds,Competitor,0.0,Neutral
3671-SHRSP,Competitor offered more data,Competitor,0.0,Neutral
3313-QKNKB,Competitor offered more data,Competitor,0.0,Neutral
5073-WXOYN,Competitor offered more data,Competitor,0.0,Neutral
0207-MDKNV,Competitor made better offer,Competitor,0.4404,Positive
9851-KIELU,Competitor made better offer,Competitor,0.4404,Positive
3908-BLSYF,Price too high,Pricing,0.0,Neutral
7549-MYGPK,Price too high,Pricing,0.0,Neutral
3804-RVTGV,Price too high,Pricing,0.0,Neutral
9227-LUNBG,Price too high,Pricing,0.0,Neutral
4315-MURBD,Price too high,Pricing,0.0,Neutral
9734-YWGEX,Price too high,Pricing,0.0,Neutral
2719-BDAQO,Price too high,Pricing,0.0,Neutral
0781-LKXBR,Price too high,Pricing,0.0,Neutral
1907-UBQFC,Price too high,Pricing,0.0,Neutral
6513-EECDB,Price too high,Pricing,0.0,Neutral
7074-IEVOJ,Product dissatisfaction,Product & Offers,-0.4939,Negative
9625-QSTYE,Service dissatisfaction,Customer Service,-0.4939,Negative
4750-ZRXIU,Lack of self-service on Website,Customer Service,-0.3182,Negative
6400-BWQKW,Network reliability,Network Quality,0.0,Neutral
6680-WKXRZ,Don't know,Other,0.0,Neutral
7028-DVOIQ,Don't know,Other,0.0,Neutral
4208-UFFGW,Don't know,Other,0.0,Neutral
9448-REEVD,Don't know,Other,0.0,Neutral
9117-SHLZX,Poor expertise of phone support,Customer Service,-0.1027,Negative
9889-TMAHG,Competitor had better devices,Competitor,0.4404,Positive
4541-RMRLG,Competitor offered higher download speeds,Competitor,0.0,Neutral
3158-MOERK,Competitor offered more data,Competitor,0.0,Neutral
7294-TMAOP,Competitor made better offer,Competitor,0.4404,Positive
8919-FYFQZ,Competitor had better devices,Competitor,0.4404,Positive
2834-JRTUA,Competitor had better devices,Competitor,0.4404,Positive
5875-YPQFJ,Competitor offered higher download speeds,Competitor,0.0,Neutral
6646-QVXLR,Competitor offered higher download speeds,Competitor,0.0,Neutral
8603-IJWDN,Competitor offered higher download speeds,Competitor,0.0,Neutral
9369-XFEHK,Competitor offered more data,Competitor,0.0,Neutral
3842-IYKUE,Competitor offered more data,Competitor,0.0,Neutral
6641-XRPSU,Competitor offered more data,Competitor,0.0,Neutral
1374-DMZUI,Competitor made better offer,Competitor,0.4404,Positive
8357-EQXFO,Competitor made better offer,Competitor,0.4404,Positive
1989-PRJHP,Competitor had better devices,Competitor,0.4404,Positive
9524-EGPJC,Competitor offered higher download speeds,Competitor,0.0,Neutral
6993-OHLXR,Competitor offered more data,Competitor,0.0,Neutral
8818-XYFCQ,Competitor made better offer,Competitor,0.4404,Positive
4695-VADHF,Competitor had better devices,Competitor,0.4404,Positive
3863-IUBJR,Competitor had better devices,Competitor,0.4404,Positive
4822-RVYBB,Competitor offered higher download speeds,Competitor,0.0,Neutral
8436-BJUMM,Competitor offered higher download speeds,Competitor,0.0,Neutral
4184-TJFAN,Competitor offered higher download speeds,Competitor,0.0,Neutral
4145-UQXUQ,Competitor offered more data,Competitor,0.0,Neutral
9948-YPTDG,Competitor offered more data,Competitor,0.0,Neutral
1236-WFCDV,Competitor offered more data,Competitor,0.0,Neutral
4883-QICIH,Don't know,Other,0.0,Neutral
8329-IBCTI,Competitor made better offer,Competitor,0.4404,Positive
1271-SJBGZ,Competitor had better devices,Competitor,0.4404,Positive
5669-SRAIP,Competitor offered higher download speeds,Competitor,0.0,Neutral
5981-ITEMU,Competitor offered more data,Competitor,0.0,Neutral
6941-PMGEP,Competitor made better offer,Competitor,0.4404,Positive
1624-WOIWJ,Competitor had better devices,Competitor,0.4404,Positive
2074-GKOWZ,Competitor had better devices,Competitor,0.4404,Positive
0376-YMCJC,Competitor offered higher download speeds,Competitor,0.0,Neutral
0634-SZPQA,Competitor offered higher download speeds,Competitor,0.0,Neutral
5536-RTPWK,Competitor offered higher download speeds,Competitor,0.0,Neutral
6166-ILMNY,Competitor offered more data,Competitor,0.0,Neutral
3097-NNSPB,Competitor offered more data,Competitor,0.0,Neutral
0655-RBDUG,Competitor offered more data,Competitor,0.0,Neutral
4361-BKAXE,Competitor made better offer,Competitor,0.4404,Positive
9878-TNQGW,Competitor made better offer,Competitor,0.4404,Positive
4441-NIHPT,Competitor had better devices,Competitor,0.4404,Positive
8999-BOHSE,Competitor offered higher download speeds,Competitor,0.0,Neutral
7029-RPUAV,Competitor offered more data,Competitor,0.0,Neutral
4607-CHPCA,Competitor made better offer,Competitor,0.4404,Positive
8824-RWFXJ,Competitor had better devices,Competitor,0.4404,Positive
9763-PDTKK,Competitor had better devices,Competitor,0.4404,Positive
7627-JKIAZ,Competitor offered higher download speeds,Competitor,0.0,Neutral
4081-DYXAV,Competitor offered higher download speeds,Competitor,0.0,Neutral
8111-SLLHI,Competitor offered higher download speeds,Competitor,0.0,Neutral
0927-LCSMG,Competitor offered more data,Competitor,0.0,Neutral
8257-RZAHR,Competitor offered more data,Competitor,0.0,Neutral
5293-WXJAK,Competitor offered more data,Competitor,0.0,Neutral
0841-NULXI,Don't know,Other,0.0,Neutral
7851-WZEKY,Competitor made better offer,Competitor,0.4404,Positive
8844-TONUD,Attitude of service provider,Customer Service,0.0,Neutral
4086-YQSNZ,Attitude of service provider,Customer Service,0.0,Neutral
5868-CZJDR,Attitude of service provider,Customer Service,0.0,Neutral
0135-NMXAP,Attitude of support person,Customer Service,0.4019,Positive
6270-OMFIW,Attitude of support person,Customer Service,0.4019,Positive
0107-WESLM,Attitude of support person,Customer Service,0.4019,Positive
3992-YWPKO,Attitude of service provider,Customer Service,0.0,Neutral
0125-LZQXK,Attitude of service provider,Customer Service,0.0,Neutral
8399-YNDCH,Attitude of service provider,Customer Service,0.0,Neutral
5673-FSSMF,Attitude of support person,Customer Service,0.4019,Positive
1579-KLYDT,Competitor made better offer,Competitor,0.4404,Positive
3927-NLNRY,Moved,Personal Reasons,0.0,Neutral
6358-LYNGM,Moved,Personal Reasons,0.0,Neutral
5494-HECPR,Moved,Personal Reasons,0.0,Neutral
9824-BEMCV,Competitor offered higher download speeds,Competitor,0.0,Neutral
1373-ORVIZ,Competitor offered higher download speeds,Competitor,0.0,Neutral
9866-QEVEE,Competitor offered higher download speeds,Competitor,0.0,Neutral
9897-KXHCM,Competitor offered higher download speeds,Competitor,0.0,Neutral
7979-CORPM,Don't know,Other,0.0,Neutral
1618-CFHME,Don't know,Other,0.0,Neutral
3165-HDOEW,Don't know,Other,0.0,Neutral
6581-NQCBA,Don't know,Other,0.0,Neutral
1689-MRZQR,Don't know,Other,0.0,Neutral
5835-BEQEU,Don't know,Other,0.0,Neutral
5565-FILXA,Don't know,Other,0.0,Neutral
5552-ZNFSJ,Don't know,Other,0.0,Neutral
2223-KAGMX,Don't know,Other,0.0,Neutral
7321-PKUYW,Competitor offered higher download speeds,Competitor,0.0,Neutral
2833-SLKDQ,Network reliability,Network Quality,0.0,Neutral
7595-EUIVN,Network reliability,Network Quality,0.0,Neutral
2026-TGDHM,Network reliability,Network Quality,0.0,Neutral
4030-VPZBD,Network reliability,Network Quality,0.0,Neutral
4187-CINZD,Network reliability,Network Quality,0.0,Neutral
6818-WOBHJ,Network reliability,Network Quality,0.0,Neutral
2408-TZMJL,Network reliability,Network Quality,0.0,Neutral
9134-CEQMF,Network reliability,Network Quality,0.0,Neutral
7993-PYKOF,Network reliability,Network Quality,0.0,Neutral
5027-XWQHA,Network reliability,Network Quality,0.0,Neutral
4566-QVRRW,Network reliability,Network Quality,0.0,Neutral
8519-IMDHU,Network reliability,Network Quality,0.0,Neutral
0201-OAMXR,Network reliability,Network Quality,0.0,Neutral
3372-KWFBM,Network reliability,Network Quality,0.0,Neutral
7831-QGOXH,Don't know,Other,0.0,Neutral
6393-WRYZE,Don't know,Other,0.0,Neutral
6599-RCLCJ,Don't know,Other,0.0,Neutral
9831-BPFRI,Poor expertise of online support,Customer Service,-0.1027,Negative
1725-MIMXW,Poor expertise of phone support,Customer Service,-0.1027,Negative
0031-PVLZI,Competitor had better devices,Competitor,0.4404,Positive
7206-GZCDC,Competitor offered higher download speeds,Competitor,0.0,Neutral
4791-QRGMF,Competitor offered more data,Competitor,0.0,Neutral
1768-ZAIFU,Competitor made better offer,Competitor,0.4404,Positive
4671-LXRDQ,Competitor had better devices,Competitor,0.4404,Positive
1934-SJVJK,Competitor had better devices,Competitor,0.4404,Positive
3838-OZURD,Competitor offered higher download speeds,Competitor,0.0,Neutral
9269-CQOOL,Competitor offered higher download speeds,Competitor,0.0,Neutral
2845-HSJCY,Competitor offered higher download speeds,Competitor,0.0,Neutral
1184-PJVDB,Competitor offered more data,Competitor,0.0,Neutral
9415-DPEWS,Competitor offered more data,Competitor,0.0,Neutral
7943-RQCHR,Competitor offered more data,Competitor,0.0,Neutral
3793-MMFUH,Competitor made better offer,Competitor,0.4404,Positive
3249-ZPQRG,Competitor made better offer,Competitor,0.4404,Positive
2568-BRGYX,Competitor had better devices,Competitor,0.4404,Positive
7721-JXEAW,Competitor offered higher download speeds,Competitor,0.0,Neutral
7249-WBIYX,Competitor offered more data,Competitor,0.0,Neutral
6567-HOOPW,Competitor made better offer,Competitor,0.4404,Positive
3164-AALRN,Competitor had better devices,Competitor,0.4404,Positive
3334-CTHOL,Competitor had better devices,Competitor,0.4404,Positive
4704-ERYFC,Competitor offered higher download speeds,Competitor,0.0,Neutral
8621-MNIHH,Competitor offered higher download speeds,Competitor,0.0,Neutral
0471-LVHGK,Competitor offered higher download speeds,Competitor,0.0,Neutral
9518-RWHZL,Competitor offered more data,Competitor,0.0,Neutral
5419-CONWX,Competitor offered more data,Competitor,0.0,Neutral
6240-EURKS,Competitor offered more data,Competitor,0.0,Neutral
6960-HVYXR,Competitor made better offer,Competitor,0.4404,Positive
7024-OHCCK,Don't know,Other,0.0,Neutral
7861-UVUFT,Competitor had better devices,Competitor,0.4404,Positive
5357-TZHPP,Competitor offered higher download speeds,Competitor,0.0,Neutral
0680-DFNNY,Competitor offered more data,Competitor,0.0,Neutral
7767-UXAGJ,Competitor made better offer,Competitor,0.4404,Positive
1571-SAVHK,Competitor had better devices,Competitor,0.4404,Positive
9546-CQJSU,Competitor had better devices,Competitor,0.4404,Positive
0506-LVNGN,Competitor offered higher download speeds,Competitor,0.0,Neutral
2951-QOQTK,Competitor offered higher download speeds,Competitor,0.0,Neutral
3473-XIIIT,Competitor offered higher download speeds,Competitor,0.0,Neutral
7893-IXHRQ,Competitor offered more data,Competitor,0.0,Neutral
2952-QAYZF,Competitor offered more data,Competitor,0.0,Neutral
4763-PGDPO,Competitor offered more data,Competitor,0.0,Neutral
5394-SVGJV,Competitor made better offer,Competitor,0.4404,Positive
9283-LZQOH,Competitor made better offer,Competitor,0.4404,Positive
7079-QRCBC,Competitor had better devices,Competitor,0.4404,Positive
5469-CTCWN,Competitor offered higher download speeds,Competitor,0.0,Neutral
9851-QXEEQ,Competitor offered more data,Competitor,0.0,Neutral
9809-IMGCQ,Competitor made better offer,Competitor,0.4404,Positive
5208-HFSBT,Competitor had better devices,Competitor,0.4404,Positive
3254-YRILK,Competitor had better devices,Competitor,0.4404,Positive
2667-WYLWJ,Competitor offered higher download speeds,Competitor,0.0,Neutral
0529-ONKER,Competitor offered higher download speeds,Competitor,0.0,Neutral
5240-IJOQT,Competitor offered higher download speeds,Competitor,0.0,Neutral
1092-GANHU,Competitor offered more data,Competitor,0.0,Neutral
0661-XEYAN,Competitor offered more data,Competitor,0.0,Neutral
7881-EVUAD,Competitor offered more data,Competitor,0.0,Neutral
5766-XQXMQ,Competitor made better offer,Competitor,0.4404,Positive
3703-VAVCL,Competitor made better offer,Competitor,0.4404,Positive
8519-QJGJD,Attitude of service provider,Customer Service,0.0,Neutral
6326-MTTXK,Attitude of service provider,Customer Service,0.0,Neutral
0330-IVZHA,Attitude of service provider,Customer Service,0.0,Neutral
2886-KEFUM,Attitude of support person,Customer Service,0.4019,Positive
4237-RLAQD,Attitude of support person,Customer Service,0.4019,Positive
9651-GTSAQ,Attitude of support person,Customer Service,0.4019,Positive
3186-BAXNB,Attitude of service provider,Customer Service,0.0,Neutral
0637-YLETY,Attitude of service provider,Customer Service,0.0,Neutral
1157-BQCUW,Attitude of service provider,Customer Service,0.0,Neutral
2660-EMUBI,Attitude of support person,Customer Service,0.4019,Positive
7675-OZCZG,Competitor made better offer,Competitor,0.4404,Positive
2003-CKLOR,Moved,Personal Reasons,0.0,Neutral
9254-RBFON,Moved,Personal Reasons,0.0,Neutral
1205-WNWPJ,Moved,Personal Reasons,0.0,Neutral
9391-EOYLI,Competitor made better offer,Competitor,0.4404,Positive
8387-MOJJT,Competitor made better offer,Competitor,0.4404,Positive
2761-OCIAX,Competitor made better offer,Competitor,0.4404,Positive
3068-OMWZA,Competitor made better offer,Competitor,0.4404,Positive
6032-KRXXO,Competitor made better offer,Competitor,0.4404,Positive
7459-RRWQZ,Competitor made better offer,Competitor,0.4404,Positive
4154-AQUGT,Competitor made better offer,Competitor,0.4404,Positive
3092-IGHWF,Competitor made better offer,Competitor,0.4404,Positive
8017-LXHFA,Competitor made better offer,Competitor,0.4404,Positive
6352-TWCAU,Competitor made better offer,Competitor,0.4404,Positive
2929-QNSRW,Competitor made better offer,Competitor,0.4404,Positive
1262-OPMFY,Competitor made better offer,Competitor,0.4404,Positive
4248-QPAVC,Competitor made better offer,Competitor,0.4404,Positive
1899-VXWXM,Competitor made better offer,Competitor,0.4404,Positive
4690-LLKUA,Extra data charges,Other,-0.2732,Negative
3331-HQDTW,Extra data charges,Other,-0.2732,Negative
9490-DFPMD,Extra data charges,Other,-0.2732,Negative
