CustomerID,Cluster,Segment,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
5896-NPFWW,2,New Passives,69,3,50.15,1,2,2,5
7133-VBDCG,3,High Risk,47,4,79.85,3,3,4,10
1029-QFBEN,2,New Passives,71,1,19.55,1,1,1,3
4952-YSOGZ,3,High Risk,68,4,85.95,1,3,4,8
1589-AGTLK,2,New Passives,69,2,45.35,1,1,2,4
5244-IRFIH,3,High Risk,39,5,94.5,3,3,5,11
2684-EIWEO,3,High Risk,42,6,91.7,3,4,4,11
6439-GTPCA,1,Champions,27,5,87.25,4,3,4,11
5138-WVKYJ,3,High Risk,62,6,98.55,2,4,5,11
6683-VLCTZ,3,High Risk,52,6,98.55,3,4,5,12
2189-WWOEW,3,High Risk,57,4,85.9,2,3,4,9
1894-IGFSG,3,High Risk,50,4,89.25,3,3,4,10
7379-POKDZ,3,High Risk,69,2,70.3,1,1,3,5
0236-HFWSV,3,High Risk,57,5,93.35,2,3,4,9
3900-AQPHZ,2,New Passives,71,1,19.9,1,1,1,3
5842-POCOP,3,High Risk,67,5,88.9,1,3,4,8
2037-XJFUP,3,High Risk,39,5,95.8,3,3,5,11
7314-OXENN,3,High Risk,70,4,82.0,1,3,4,8
0322-CHQRU,2,New Passives,70,2,45.35,1,1,2,4
4678-DVQEO,2,New Passives,71,3,52.2,1,2,2,5
0691-IFBQW,1,Champions,26,8,110.0,4,5,5,14
3009-JWMPU,1,Champions,10,6,96.75,5,4,5,14
1450-GALXR,3,High Risk,62,6,98.5,2,4,5,11
3138-BKYAV,3,High Risk,66,4,85.35,2,3,4,9
4289-DTDKW,1,Champions,32,6,101.3,4,4,5,13
1820-TQVEV,3,High Risk,71,2,69.55,1,1,3,5
2239-JALAW,1,Champions,14,7,103.25,4,5,5,14
4853-RULSV,1,Champions,2,7,104.0,5,5,5,15
6275-YDUVO,3,High Risk,70,4,86.2,1,3,4,8
0115-TFERT,1,Champions,51,8,111.2,3,5,5,13
2311-QYMUQ,3,High Risk,56,5,89.45,2,3,4,9
3643-AHCFP,3,High Risk,65,5,95.6,2,3,5,10
3104-OWCGK,1,Champions,12,5,90.95,5,3,4,12
9101-BWFSS,1,Champions,22,8,108.55,4,5,5,14
9231-ZJYAM,3,High Risk,68,3,78.85,1,2,3,6
6982-SSHFK,2,New Passives,71,2,44.4,1,1,2,4
0727-BMPLR,1,Champions,17,6,100.0,4,4,5,13
1038-ZAGBI,2,New Passives,60,1,19.8,2,1,1,4
3027-ZTDHO,3,High Risk,71,4,89.9,1,3,4,8
2382-BCKQJ,1,Champions,10,6,100.15,5,4,5,14
2207-NHRJK,2,New Passives,71,3,50.8,1,2,2,5
0947-MUGVO,3,High Risk,52,3,73.65,3,2,3,8
9944-HKVVB,3,High Risk,69,5,95.1,1,3,5,9
4124-MMETB,3,High Risk,50,5,94.65,3,3,5,11
3671-SHRSP,3,High Risk,68,4,80.6,1,3,4,8
3313-QKNKB,1,Champions,13,4,85.55,4,3,4,11
5073-WXOYN,0,Loyal Basics,12,4,50.8,5,3,2,10
0207-MDKNV,3,High Risk,57,7,105.1,2,5,5,12
9851-KIELU,3,High Risk,62,8,110.1,2,5,5,12
3908-BLSYF,3,High Risk,66,4,83.9,2,3,4,9
7549-MYGPK,1,Champions,9,7,100.55,5,5,5,15
3804-RVTGV,1,Champions,22,7,103.85,4,5,5,14
9227-LUNBG,2,New Passives,71,1,24.6,1,1,1,3
4315-MURBD,3,High Risk,60,6,98.9,2,4,5,11
9734-YWGEX,3,High Risk,63,6,98.3,2,4,5,11
2719-BDAQO,3,High Risk,55,5,93.85,2,3,4,9
0781-LKXBR,3,High Risk,63,6,100.5,2,4,5,11
1907-UBQFC,3,High Risk,62,3,72.85,2,2,3,7
6513-EECDB,3,High Risk,71,3,73.55,1,2,3,6
7074-IEVOJ,3,High Risk,69,4,79.4,1,3,4,8
9625-QSTYE,3,High Risk,59,4,81.15,2,3,4,9
4750-ZRXIU,3,High Risk,68,4,84.6,1,3,4,8
6400-BWQKW,3,High Risk,66,4,79.05,2,3,3,8
6680-WKXRZ,3,High Risk,69,3,74.4,1,2,3,6
7028-DVOIQ,1,Champions,37,6,99.05,3,4,5,12
4208-UFFGW,2,New Passives,70,2,44.95,1,1,2,4
9448-REEVD,2,New Passives,71,2,44.7,1,1,2,4
9117-SHLZX,2,New Passives,71,2,45.7,1,1,2,4
9889-TMAHG,3,High Risk,64,6,100.3,2,4,5,11
4541-RMRLG,2,New Passives,65,1,19.25,2,1,1,4
3158-MOERK,3,High Risk,70,5,96.0,1,3,5,9
7294-TMAOP,3,High Risk,71,4,90.55,1,3,4,8
8919-FYFQZ,0,Loyal Basics,28,2,30.35,4,1,2,7
2834-JRTUA,1,Champions,1,8,108.05,5,5,5,15
5875-YPQFJ,3,High Risk,71,2,69.9,1,1,3,5
6646-QVXLR,1,Champions,10,7,103.75,5,5,5,15
8603-IJWDN,3,High Risk,71,4,86.6,1,3,4,8
9369-XFEHK,3,High Risk,39,4,80.6,3,3,4,10
3842-IYKUE,3,High Risk,37,5,85.3,3,3,4,10
6641-XRPSU,3,High Risk,38,2,70.0,3,1,3,7
1374-DMZUI,3,High Risk,68,5,94.3,1,3,5,9
8357-EQXFO,3,High Risk,65,5,95.35,2,3,5,10
1989-PRJHP,3,High Risk,45,3,75.5,3,2,3,8
9524-EGPJC,3,High Risk,54,5,90.1,2,3,4,9
6993-OHLXR,3,High Risk,70,2,68.95,1,1,3,5
8818-XYFCQ,1,Champions,40,6,99.55,3,4,5,12
4695-VADHF,3,High Risk,54,4,57.45,2,3,2,7
3863-IUBJR,3,High Risk,60,3,53.65,2,2,2,6
4822-RVYBB,3,High Risk,64,6,100.6,2,4,5,11
8436-BJUMM,3,High Risk,46,4,83.75,3,3,4,10
4184-TJFAN,3,High Risk,69,5,88.3,1,3,4,8
4145-UQXUQ,3,High Risk,64,5,92.1,2,3,4,9
9948-YPTDG,3,High Risk,34,4,79.45,3,3,4,10
1236-WFCDV,3,High Risk,58,4,90.45,2,3,4,9
4883-QICIH,3,High Risk,40,2,69.75,3,1,3,7
8329-IBCTI,2,New Passives,71,1,19.65,1,1,1,3
1271-SJBGZ,2,New Passives,60,4,43.65,2,3,2,7
5669-SRAIP,2,New Passives,67,3,39.5,1,2,2,5
5981-ITEMU,1,Champions,32,5,97.1,4,3,5,12
6941-PMGEP,3,High Risk,67,3,80.0,1,2,4,7
1624-WOIWJ,3,High Risk,62,4,84.7,2,3,4,9
2074-GKOWZ,3,High Risk,70,4,89.55,1,3,4,8
0376-YMCJC,3,High Risk,49,5,90.6,3,3,4,10
0634-SZPQA,3,High Risk,49,5,90.05,3,3,4,10
5536-RTPWK,1,Champions,23,6,99.05,4,4,5,13
6166-ILMNY,3,High Risk,70,2,69.75,1,1,3,5
3097-NNSPB,2,New Passives,70,3,49.05,1,2,2,5
0655-RBDUG,3,High Risk,65,6,98.05,2,4,5,11
4361-BKAXE,1,Champions,31,9,114.5,4,5,5,14
9878-TNQGW,3,High Risk,70,3,80.95,1,2,4,7
4441-NIHPT,3,High Risk,59,3,74.3,2,2,3,7
8999-BOHSE,3,High Risk,61,4,89.7,2,3,4,9
7029-RPUAV,3,High Risk,55,6,100.45,2,4,5,11
4607-CHPCA,3,High Risk,47,4,90.4,3,3,4,10
8824-RWFXJ,3,High Risk,69,4,56.15,1,3,2,6
9763-PDTKK,3,High Risk,68,6,94.4,1,4,5,10
7627-JKIAZ,3,High Risk,35,4,78.95,3,3,3,9
4081-DYXAV,2,New Passives,53,3,44.85,2,2,2,6
8111-SLLHI,1,Champions,33,7,105.65,3,5,5,13
0927-LCSMG,3,High Risk,65,3,74.65,2,2,3,7
8257-RZAHR,3,High Risk,58,5,64.7,2,3,3,8
5293-WXJAK,3,High Risk,61,7,104.05,2,5,5,12
0841-NULXI,2,New Passives,71,2,35.55,1,1,2,4
7851-WZEKY,3,High Risk,70,5,95.15,1,3,5,9
8844-TONUD,3,High Risk,59,5,96.65,2,3,5,10
4086-YQSNZ,3,High Risk,69,3,80.4,1,2,4,7
5868-CZJDR,2,New Passives,71,2,31.35,1,1,2,4
0135-NMXAP,3,High Risk,60,5,89.75,2,3,4,9
6270-OMFIW,1,Champions,12,5,94.4,5,3,5,13
0107-WESLM,2,New Passives,71,1,19.85,1,1,1,3
3992-YWPKO,3,High Risk,66,8,109.9,2,5,5,12
0125-LZQXK,3,High Risk,57,6,101.35,2,4,5,11
8399-YNDCH,3,High Risk,51,4,60.05,3,3,3,9
5673-FSSMF,3,High Risk,71,4,60.15,1,3,3,7
1579-KLYDT,3,High Risk,65,5,90.45,2,3,4,9
3927-NLNRY,1,Champions,19,5,94.25,4,3,4,11
6358-LYNGM,3,High Risk,71,3,74.9,1,2,3,6
5494-HECPR,3,High Risk,71,3,80.25,1,2,4,7
9824-BEMCV,3,High Risk,55,2,69.0,2,1,3,6
1373-ORVIZ,3,High Risk,61,5,66.35,2,3,3,8
9866-QEVEE,3,High Risk,53,4,86.0,2,3,4,9
9897-KXHCM,3,High Risk,69,3,80.3,1,2,4,7
7979-CORPM,3,High Risk,48,5,90.55,3,3,4,10
1618-CFHME,3,High Risk,70,3,75.9,1,2,3,6
3165-HDOEW,2,New Passives,71,2,45.85,1,1,2,4
6581-NQCBA,3,High Risk,56,4,49.95,2,3,2,7
1689-MRZQR,3,High Risk,38,3,78.3,3,2,3,8
5835-BEQEU,3,High Risk,69,3,76.95,1,2,3,6
5565-FILXA,3,High Risk,56,5,96.15,2,3,5,10
5552-ZNFSJ,2,New Passives,71,2,45.3,1,1,2,4
2223-KAGMX,2,New Passives,57,1,19.4,2,1,1,4
7321-PKUYW,3,High Risk,61,5,90.15,2,3,4,9
2833-SLKDQ,2,New Passives,71,2,45.05,1,1,2,4
7595-EUIVN,3,High Risk,71,3,75.8,1,2,3,6
2026-TGDHM,3,High Risk,65,3,79.3,2,2,4,8
4030-VPZBD,2,New Passives,70,2,30.9,1,1,2,4
4187-CINZD,1,Champions,26,5,95.25,4,3,5,12
6818-WOBHJ,1,Champions,4,5,89.6,5,3,4,12
2408-TZMJL,1,Champions,13,8,110.15,4,5,5,14
9134-CEQMF,3,High Risk,65,4,89.5,2,3,4,9
7993-PYKOF,3,High Risk,64,3,75.0,2,2,3,7
5027-XWQHA,2,New Passives,66,2,44.75,2,1,2,5
4566-QVRRW,2,New Passives,61,2,44.05,2,1,2,5
8519-IMDHU,3,High Risk,57,4,85.6,2,3,4,9
0201-OAMXR,1,Champions,2,9,115.55,5,5,5,15
3372-KWFBM,3,High Risk,56,4,86.6,2,3,4,9
7831-QGOXH,3,High Risk,54,4,85.2,2,3,4,9
6393-WRYZE,3,High Risk,38,5,97.65,3,3,5,11
6599-RCLCJ,1,Champions,25,8,109.55,4,5,5,14
9831-BPFRI,1,Champions,33,6,89.55,3,4,4,11
1725-MIMXW,2,New Passives,71,1,19.45,1,1,1,3
0031-PVLZI,2,New Passives,68,1,20.35,1,1,1,3
7206-GZCDC,3,High Risk,71,2,69.25,1,1,3,5
4791-QRGMF,1,Champions,13,6,99.5,4,4,5,13
1768-ZAIFU,2,New Passives,71,1,25.2,1,1,2,4
4671-LXRDQ,2,New Passives,70,2,45.0,1,1,2,4
1934-SJVJK,2,New Passives,71,1,20.15,1,1,1,3
3838-OZURD,1,Champions,6,7,105.0,5,5,5,15
9269-CQOOL,3,High Risk,69,3,54.7,1,2,2,5
2845-HSJCY,3,High Risk,58,5,87.25,2,3,4,9
1184-PJVDB,3,High Risk,62,3,79.95,2,2,4,8
9415-DPEWS,3,High Risk,54,5,88.35,2,3,4,9
7943-RQCHR,3,High Risk,63,5,94.75,2,3,5,10
3793-MMFUH,3,High Risk,59,5,95.05,2,3,5,10
3249-ZPQRG,3,High Risk,68,4,78.45,1,3,3,7
2568-BRGYX,3,High Risk,68,2,70.2,1,1,3,5
7721-JXEAW,0,Loyal Basics,13,3,41.05,4,2,2,8
7249-WBIYX,3,High Risk,62,4,85.6,2,3,4,9
6567-HOOPW,3,High Risk,71,3,79.2,1,2,4,7
3164-AALRN,3,High Risk,67,5,70.0,1,3,3,7
3334-CTHOL,2,New Passives,71,3,49.95,1,2,2,5
4704-ERYFC,3,High Risk,50,2,69.25,3,1,3,7
8621-MNIHH,1,Champions,38,6,94.25,3,4,4,11
0471-LVHGK,1,Champions,31,6,73.0,4,4,3,11
9518-RWHZL,1,Champions,8,6,100.05,5,4,5,14
5419-CONWX,3,High Risk,68,6,99.8,1,4,5,10
6240-EURKS,2,New Passives,54,2,35.0,2,1,2,5
6960-HVYXR,3,High Risk,71,3,76.0,1,2,3,6
7024-OHCCK,3,High Risk,70,5,93.85,1,3,4,8
7861-UVUFT,3,High Risk,57,4,84.3,2,3,4,9
5357-TZHPP,3,High Risk,63,4,84.4,2,3,4,9
0680-DFNNY,3,High Risk,57,6,101.1,2,4,5,11
7767-UXAGJ,2,New Passives,71,3,50.45,1,2,2,5
1571-SAVHK,3,High Risk,60,6,99.95,2,4,5,11
9546-CQJSU,3,High Risk,70,5,91.4,1,3,4,8
0506-LVNGN,3,High Risk,67,3,75.55,1,2,3,6
2951-QOQTK,3,High Risk,68,4,80.8,1,3,4,8
3473-XIIIT,3,High Risk,56,6,100.0,2,4,5,11
7893-IXHRQ,2,New Passives,71,1,20.55,1,1,1,3
2952-QAYZF,3,High Risk,67,5,85.3,1,3,4,8
4763-PGDPO,3,High Risk,68,2,70.4,1,1,3,5
5394-SVGJV,1,Champions,35,6,98.8,3,4,5,12
9283-LZQOH,3,High Risk,59,3,74.4,2,2,3,7
7079-QRCBC,3,High Risk,48,6,98.75,3,4,5,12
5469-CTCWN,1,Champions,11,7,106.0,5,5,5,15
9851-QXEEQ,1,Champions,31,7,104.7,4,5,5,14
9809-IMGCQ,3,High Risk,50,5,96.7,3,3,5,11
5208-HFSBT,3,High Risk,70,4,55.05,1,3,2,6
3254-YRILK,3,High Risk,53,5,88.2,2,3,4,9
2667-WYLWJ,2,New Passives,64,1,19.75,2,1,1,4
0529-ONKER,3,High Risk,57,3,75.65,2,2,3,7
5240-IJOQT,3,High Risk,71,3,74.7,1,2,3,6
1092-GANHU,3,High Risk,55,3,76.65,2,2,3,7
0661-XEYAN,2,New Passives,71,1,25.8,1,1,2,4
7881-EVUAD,2,New Passives,70,4,42.6,1,3,2,6
5766-XQXMQ,3,High Risk,43,6,68.85,3,4,3,10
3703-VAVCL,3,High Risk,70,5,90.0,1,3,4,8
8519-QJGJD,3,High Risk,58,3,75.35,2,2,3,7
6326-MTTXK,3,High Risk,64,6,100.85,2,4,5,11
0330-IVZHA,3,High Risk,67,2,69.95,1,1,3,5
2886-KEFUM,1,Champions,9,7,107.5,5,5,5,15
4237-RLAQD,2,New Passives,71,2,45.85,1,1,2,4
9651-GTSAQ,1,Champions,19,7,106.1,4,5,5,14
3186-BAXNB,3,High Risk,71,5,91.7,1,3,4,8
0637-YLETY,3,High Risk,56,6,95.6,2,4,5,11
1157-BQCUW,3,High Risk,71,3,74.95,1,2,3,6
2660-EMUBI,3,High Risk,62,5,95.35,2,3,5,10
7675-OZCZG,2,New Passives,69,2,45.0,1,1,2,4
2003-CKLOR,1,Champions,6,6,99.5,5,4,5,14
9254-RBFON,3,High Risk,55,6,98.6,2,4,5,11
1205-WNWPJ,3,High Risk,65,4,59.5,2,3,3,8
9391-EOYLI,3,High Risk,60,3,80.45,2,2,4,8
8387-MOJJT,3,High Risk,30,3,77.95,4,2,3,9
2761-OCIAX,3,High Risk,70,3,74.7,1,2,3,6
3068-OMWZA,3,High Risk,71,5,88.8,1,3,4,8
6032-KRXXO,3,High Risk,42,4,90.25,3,3,4,10
7459-RRWQZ,3,High Risk,57,5,64.65,2,3,3,8
4154-AQUGT,3,High Risk,59,5,89.05,2,3,4,9
3092-IGHWF,1,Champions,5,5,87.4,5,3,4,12
8017-LXHFA,3,High Risk,49,5,94.75,3,3,5,11
6352-TWCAU,3,High Risk,37,4,86.45,3,3,4,10
2929-QNSRW,1,Champions,16,6,98.25,4,4,5,13
1262-OPMFY,3,High Risk,63,3,75.75,2,2,3,7
4248-QPAVC,3,High Risk,55,5,85.35,2,3,4,9
1899-VXWXM,1,Champions,24,7,106.1,4,5,5,14
4690-LLKUA,2,New Passives,55,2,45.05,2,1,2,5
3331-HQDTW,1,Champions,38,8,109.8,3,5,5,13
9490-DFPMD,3,High Risk,30,4,84.65,4,3,4,11
5442-XSDCW,3,High Risk,61,3,79.5,2,2,4,8
3049-NDXFL,3,High Risk,71,4,85.8,1,3,4,8
