CustomerID,Tenure Months,Monthly Charges,Total Charges,Contract,Payment Method,Internet Service,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,City,State,tenure_group,revenue_band,service_count,customer_value,risk_segment,Segment,RFM_Score,R_Score,F_Score,M_Score,Churn Theme,Sentiment_Score,Sentiment_Label
4080-OGPJL,8,71.15,563.65,Month-to-month,Electronic check,DSL,Yes,1,66,2662,Don't know,San Pedro,California,New,High,6,Standard,Low Risk,High Risk,9,2,4,3,Other,0.0,Neutral
2135-RXIHG,1,45.65,45.65,Month-to-month,Electronic check,DSL,Yes,1,73,2600,Poor expertise of online support,Carson,California,New,Medium,2,Standard,Low Risk,New Passives,4,1,1,2,Customer Service,-0.1027,Negative
3874-EQOEP,7,95.0,655.5,Month-to-month,Mailed check,Fiber optic,Yes,1,94,2786,Poor expertise of phone support,Long Beach,California,New,Premium,5,Standard,Low Risk,High Risk,10,2,3,5,Customer Service,-0.1027,Negative
0867-MKZVY,20,82.4,1592.35,Month-to-month,Electronic check,Fiber optic,Yes,1,86,5719,Price too high,Altadena,California,Mid,High,4,Standard,Low Risk,High Risk,10,3,3,4,Pricing,0.0,Neutral
3376-BMGFE,4,70.9,273,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,1,75,4287,Product dissatisfaction,Monrovia,California,New,High,2,Standard,Low Risk,High Risk,5,1,1,3,Product & Offers,-0.4939,Negative
3445-HXXGF,58,45.3,2651.2,Month-to-month,Electronic check,DSL,Yes,1,100,5444,Service dissatisfaction,Sierra Madre,California,Loyal,Medium,4,Standard,Low Risk,Loyal Basics,9,4,3,2,Customer Service,-0.4939,Negative
1875-QIVME,2,104.4,242.8,Month-to-month,Electronic check,Fiber optic,Yes,1,83,4690,Lack of self-service on Website,Tujunga,California,New,Premium,7,Standard,Low Risk,High Risk,11,1,5,5,Customer Service,-0.3182,Negative
0691-JVSYA,53,94.85,5000.2,One year,Bank transfer (automatic),Fiber optic,Yes,1,80,4328,Network reliability,Pasadena,California,Loyal,Premium,5,High Value,Low Risk,Champions,12,4,3,5,Network Quality,0.0,Neutral
2656-FMOKZ,15,74.45,1145.7,Month-to-month,Mailed check,Fiber optic,Yes,1,99,5717,Limited range of services,Pasadena,California,Mid,High,3,Standard,Low Risk,High Risk,7,2,2,3,Customer Service,-0.2263,Negative
2070-FNEXE,7,76.45,503.6,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,1,81,4419,Lack of affordable download/upload speed,Pasadena,California,New,High,3,Standard,Low Risk,High Risk,7,2,2,3,Network Quality,-0.3182,Negative
6317-YPKDH,1,29.95,29.95,Month-to-month,Bank transfer (automatic),DSL,Yes,1,95,4534,Long distance charges,Glendale,California,New,Low,2,Standard,Low Risk,New Passives,4,1,1,2,Other,-0.2732,Negative
9367-WXLCH,8,84.5,662.65,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,1,86,2152,Extra data charges,Glendale,California,New,High,4,Standard,Low Risk,High Risk,9,2,3,4,Other,-0.2732,Negative
1918-ZBFQJ,13,79.25,1111.65,Month-to-month,Electronic check,Fiber optic,Yes,1,73,5142,Price too high,Glendale,California,Mid,High,4,Standard,Low Risk,High Risk,9,2,3,4,Pricing,0.0,Neutral
1024-GUALD,1,24.8,24.8,Month-to-month,Electronic check,DSL,Yes,1,94,4851,Product dissatisfaction,Glendale,California,New,Low,1,Standard,Low Risk,New Passives,3,1,1,1,Product & Offers,-0.4939,Negative
2472-OVKUP,6,91.0,531,Month-to-month,Electronic check,Fiber optic,Yes,1,94,2283,Service dissatisfaction,Canoga Park,California,New,Premium,5,Standard,Low Risk,High Risk,9,2,3,4,Customer Service,-0.4939,Negative
1285-OKIPP,1,79.9,79.9,Month-to-month,Electronic check,Fiber optic,Yes,1,98,3394,Lack of self-service on Website,Mission Hills,California,New,High,3,Standard,Low Risk,High Risk,7,1,2,4,Customer Service,-0.3182,Negative
7825-ECJRF,19,106.6,1934.45,Month-to-month,Electronic check,Fiber optic,Yes,1,71,3764,Network reliability,Santa Clarita,California,Mid,Premium,7,Standard,Low Risk,High Risk,12,2,5,5,Network Quality,0.0,Neutral
7841-TZDMQ,2,46.0,84.5,Month-to-month,Credit card (automatic),DSL,Yes,1,76,2667,Don't know,Sun Valley,California,New,Medium,2,Standard,Low Risk,New Passives,4,1,1,2,Other,0.0,Neutral
9408-SSNVZ,4,70.15,268.35,Month-to-month,Electronic check,Fiber optic,Yes,1,67,2227,Don't know,Stevenson Ranch,California,New,High,2,Standard,Low Risk,High Risk,5,1,1,3,Other,0.0,Neutral
0742-MOABM,4,50.05,179.35,Month-to-month,Mailed check,DSL,Yes,1,82,3394,Don't know,Panorama City,California,New,Medium,3,Standard,Low Risk,New Passives,5,1,2,2,Other,0.0,Neutral
2232-DMLXU,1,55.2,55.2,Month-to-month,Mailed check,DSL,Yes,1,81,3638,Poor expertise of online support,Van Nuys,California,New,Medium,3,Standard,Low Risk,High Risk,5,1,2,2,Customer Service,-0.1027,Negative
8937-RDTHP,1,84.6,84.6,Month-to-month,Mailed check,Fiber optic,Yes,1,66,2484,Poor expertise of phone support,Burbank,California,New,High,4,Standard,Low Risk,High Risk,8,1,3,4,Customer Service,-0.1027,Negative
1251-KRREG,2,54.4,114.1,Month-to-month,Mailed check,DSL,Yes,1,81,2556,Price too high,North Hollywood,California,New,Medium,4,Standard,Low Risk,High Risk,6,1,3,2,Pricing,0.0,Neutral
0094-OIFMO,11,95.0,1120.3,Month-to-month,Electronic check,Fiber optic,Yes,1,85,5980,Product dissatisfaction,North Hollywood,California,New,Premium,5,Standard,Low Risk,High Risk,10,2,3,5,Product & Offers,-0.4939,Negative
9947-OTFQU,15,74.4,1074.3,Month-to-month,Electronic check,Fiber optic,Yes,1,86,4616,Service dissatisfaction,Covina,California,Mid,High,3,Standard,Low Risk,High Risk,7,2,2,3,Customer Service,-0.4939,Negative
0322-YINQP,1,48.55,48.55,Month-to-month,Mailed check,DSL,Yes,1,77,5687,Lack of self-service on Website,Covina,California,New,Medium,3,Standard,Low Risk,New Passives,5,1,2,2,Customer Service,-0.3182,Negative
4629-NRXKX,2,70.4,147.15,Month-to-month,Electronic check,Fiber optic,Yes,1,75,5687,Network reliability,El Monte,California,New,High,2,Standard,Low Risk,High Risk,5,1,1,3,Network Quality,0.0,Neutral
9514-JDSKI,1,40.2,40.2,Month-to-month,Electronic check,DSL,Yes,1,65,5828,Limited range of services,El Monte,California,New,Medium,3,Standard,Low Risk,New Passives,5,1,2,2,Customer Service,-0.2263,Negative
4959-JOSRX,2,44.6,80.55,Month-to-month,Credit card (automatic),DSL,Yes,1,99,4884,Lack of affordable download/upload speed,La Puente,California,New,Medium,2,Standard,Low Risk,New Passives,4,1,1,2,Network Quality,-0.3182,Negative
7273-TEFQD,3,41.15,132.2,Month-to-month,Electronic check,DSL,Yes,1,96,2314,Long distance charges,La Puente,California,New,Medium,3,Standard,Low Risk,New Passives,5,1,2,2,Other,-0.2732,Negative
3606-TWKGI,13,106.9,1364.3,Month-to-month,Electronic check,Fiber optic,Yes,1,84,2494,Extra data charges,Rowland Heights,California,Mid,Premium,7,Standard,Low Risk,High Risk,12,2,5,5,Other,-0.2732,Negative
6323-AYBRX,59,19.35,1099.6,Two year,Mailed check,No,Yes,1,83,5084,Price too high,Ontario,California,Loyal,Low,1,Standard,Low Risk,Loyal Basics,6,4,1,1,Pricing,0.0,Neutral
4385-GZQXV,16,94.45,1511.2,Month-to-month,Electronic check,Fiber optic,Yes,1,81,3810,Product dissatisfaction,Ontario,California,Mid,Premium,5,Standard,Low Risk,High Risk,10,2,3,5,Product & Offers,-0.4939,Negative
6366-ZGQGL,1,24.8,24.8,Month-to-month,Bank transfer (automatic),DSL,Yes,1,73,5087,Service dissatisfaction,Pomona,California,New,Low,1,Standard,Low Risk,New Passives,3,1,1,1,Customer Service,-0.4939,Negative
5940-AHUHD,1,70.6,70.6,Month-to-month,Mailed check,Fiber optic,Yes,1,69,3338,Lack of self-service on Website,Pomona,California,New,High,2,Standard,Low Risk,High Risk,5,1,1,3,Customer Service,-0.3182,Negative
6432-TWQLB,5,85.4,401.1,Month-to-month,Electronic check,Fiber optic,Yes,1,80,3676,Network reliability,Rosemead,California,New,Premium,5,Standard,Low Risk,High Risk,8,1,3,4,Network Quality,0.0,Neutral
4484-GLZOU,52,105.05,5624.85,Month-to-month,Electronic check,Fiber optic,Yes,1,65,4839,Don't know,San Dimas,California,Loyal,Premium,7,High Value,Low Risk,Champions,14,4,5,5,Other,0.0,Neutral
9512-UIBFX,18,95.15,1779.95,Month-to-month,Mailed check,Fiber optic,Yes,1,68,4643,Don't know,West Covina,California,Mid,Premium,5,Standard,Low Risk,High Risk,10,2,3,5,Other,0.0,Neutral
5583-SXDAG,1,70.0,70,Month-to-month,Electronic check,Fiber optic,Yes,1,97,4094,Don't know,Alhambra,California,New,High,2,Standard,Low Risk,High Risk,5,1,1,3,Other,0.0,Neutral
3488-PGMQJ,8,74.5,606.55,Month-to-month,Electronic check,Fiber optic,Yes,1,80,4345,Poor expertise of online support,Alpine,California,New,High,3,Standard,Low Risk,High Risk,7,2,2,3,Customer Service,-0.1027,Negative
3580-REOAC,10,44.85,435.4,Month-to-month,Credit card (automatic),DSL,Yes,1,83,4061,Poor expertise of phone support,Bonita,California,New,Medium,2,Standard,Low Risk,New Passives,5,2,1,2,Customer Service,-0.1027,Negative
7534-BFESC,24,76.1,1712.7,Month-to-month,Electronic check,Fiber optic,Yes,1,98,2018,Price too high,Boulevard,California,Mid,High,3,Standard,Low Risk,High Risk,8,3,2,3,Pricing,0.0,Neutral
6390-DSAZX,1,73.6,73.6,Month-to-month,Mailed check,Fiber optic,Yes,1,80,2565,Product dissatisfaction,Guatay,California,New,High,3,Standard,Low Risk,High Risk,6,1,2,3,Product & Offers,-0.4939,Negative
8098-LLAZX,4,95.45,396.1,Month-to-month,Electronic check,Fiber optic,Yes,1,85,3677,Service dissatisfaction,Jacumba,California,New,Premium,5,Standard,Low Risk,High Risk,9,1,3,5,Customer Service,-0.4939,Negative
0265-EDXBD,32,74.9,2303.35,Month-to-month,Electronic check,Fiber optic,Yes,1,69,4105,Lack of self-service on Website,Mount Laguna,California,Mid,High,3,Standard,Low Risk,High Risk,8,3,2,3,Customer Service,-0.3182,Negative
7563-BIUPC,5,80.6,415.55,Month-to-month,Electronic check,Fiber optic,Yes,1,69,5715,Network reliability,Borrego Springs,California,New,High,3,Standard,Low Risk,High Risk,7,1,2,4,Network Quality,0.0,Neutral
2321-OMBXY,38,80.3,3058.65,One year,Credit card (automatic),DSL,Yes,1,81,2071,Limited range of services,Carlsbad,California,Loyal,High,7,Standard,Low Risk,Champions,12,3,5,4,Customer Service,-0.2263,Negative
2840-XANRC,24,93.15,2231.05,Month-to-month,Electronic check,Fiber optic,Yes,1,73,2212,Lack of affordable download/upload speed,Del Mar,California,Mid,Premium,5,Standard,Low Risk,High Risk,10,3,3,4,Network Quality,-0.3182,Negative
5020-ZSTTY,54,82.45,4350.1,One year,Bank transfer (automatic),DSL,Yes,1,83,4149,Long distance charges,El Cajon,California,Loyal,High,8,Standard,Low Risk,Champions,13,4,5,4,Other,-0.2732,Negative
5804-LEPIM,2,70.35,139.05,Month-to-month,Electronic check,Fiber optic,Yes,1,73,2671,Extra data charges,Escondido,California,New,High,2,Standard,Low Risk,High Risk,5,1,1,3,Other,-0.2732,Negative
0122-OAHPZ,7,73.85,511.25,Month-to-month,Electronic check,Fiber optic,Yes,1,67,2473,Price too high,Oceanside,California,New,High,3,Standard,Low Risk,High Risk,7,2,2,3,Pricing,0.0,Neutral
2868-SNELZ,2,80.6,155.8,Month-to-month,Mailed check,Fiber optic,Yes,1,92,2683,Product dissatisfaction,Pala,California,New,High,4,Standard,Low Risk,High Risk,8,1,3,4,Product & Offers,-0.4939,Negative
4322-RCYMT,68,75.8,5293.95,One year,Bank transfer (automatic),DSL,Yes,1,81,4903,Service dissatisfaction,Palomar Mountain,California,Champion,High,7,Standard,Low Risk,Champions,13,5,5,3,Customer Service,-0.4939,Negative
6680-NENYN,43,104.6,4759.85,Two year,Electronic check,Fiber optic,Yes,1,91,5250,Lack of self-service on Website,Pauma Valley,California,Loyal,Premium,7,High Value,Low Risk,Champions,14,4,5,5,Customer Service,-0.3182,Negative
1343-EHPYB,63,103.4,6603,Month-to-month,Electronic check,Fiber optic,Yes,1,98,4352,Network reliability,Ranchita,California,Champion,Premium,7,High Value,Low Risk,Champions,15,5,5,5,Network Quality,0.0,Neutral
2034-GDRCN,2,90.4,168.2,Month-to-month,Electronic check,Fiber optic,Yes,1,76,4157,Don't know,Valley Center,California,New,Premium,4,Standard,Low Risk,High Risk,8,1,3,4,Other,0.0,Neutral
0219-YTZUE,4,84.8,371.9,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,1,73,4939,Don't know,San Diego,California,New,High,5,Standard,Low Risk,High Risk,8,1,3,4,Other,0.0,Neutral
0623-IIHUG,21,41.9,840.1,Month-to-month,Electronic check,DSL,Yes,1,97,4778,Don't know,San Diego,California,Mid,Medium,3,Standard,Low Risk,New Passives,7,3,2,2,Other,0.0,Neutral
4572-DVCGN,10,80.25,846,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,1,85,3598,Poor expertise of online support,San Diego,California,New,High,3,Standard,Low Risk,High Risk,8,2,2,4,Customer Service,-0.1027,Negative
9057-MSWCO,27,30.75,805.1,Month-to-month,Credit card (automatic),DSL,Yes,1,91,2927,Poor expertise of phone support,San Diego,California,Mid,Low,2,Standard,Low Risk,New Passives,6,3,1,2,Customer Service,-0.1027,Negative
1010-DIAUQ,5,96.5,492.55,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,1,98,5383,Price too high,San Diego,California,New,Premium,5,Standard,Low Risk,High Risk,9,1,3,5,Pricing,0.0,Neutral
0259-GBZSH,2,85.65,181.5,Month-to-month,Electronic check,Fiber optic,Yes,1,73,3878,Product dissatisfaction,San Diego,California,New,Premium,4,Standard,Low Risk,High Risk,8,1,3,4,Product & Offers,-0.4939,Negative
9601-BRXPO,25,104.95,2566.5,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,1,66,3642,Service dissatisfaction,San Diego,California,Mid,Premium,7,High Value,Low Risk,Champions,13,3,5,5,Customer Service,-0.4939,Negative
6905-NIQIN,1,50.65,50.65,Month-to-month,Mailed check,DSL,Yes,1,76,2431,Don't know,San Diego,California,New,Medium,3,Standard,Low Risk,New Passives,5,1,2,2,Other,0.0,Neutral
5167-ZFFMM,1,90.85,90.85,Month-to-month,Credit card (automatic),Fiber optic,Yes,1,81,3424,Network reliability,Indio,California,New,Premium,5,Standard,Low Risk,High Risk,8,1,3,4,Network Quality,0.0,Neutral
4895-TMWIR,11,19.95,214.75,Month-to-month,Mailed check,No,Yes,1,80,5888,Limited range of services,Indian Wells,California,New,Low,1,Standard,Low Risk,New Passives,4,2,1,1,Customer Service,-0.2263,Negative
0533-BNWKF,55,85.45,4874.7,Month-to-month,Electronic check,Fiber optic,Yes,1,100,5502,Lack of affordable download/upload speed,Palm Desert,California,Loyal,Premium,5,High Value,Low Risk,Champions,11,4,3,4,Network Quality,-0.3182,Negative
6599-CEBNN,34,73.95,2524.45,Month-to-month,Credit card (automatic),Fiber optic,Yes,1,94,5795,Long distance charges,Desert Hot Springs,California,Mid,High,3,Standard,Low Risk,High Risk,8,3,2,3,Other,-0.2732,Negative
0979-PHULV,69,99.45,7007.6,Month-to-month,Credit card (automatic),Fiber optic,Yes,1,80,4020,Extra data charges,Holtville,California,Champion,Premium,6,High Value,Low Risk,Champions,14,5,4,5,Other,-0.2732,Negative
4800-VHZKI,1,19.9,19.9,Month-to-month,Mailed check,No,Yes,1,92,3351,Price too high,Niland,California,New,Low,1,Standard,Low Risk,New Passives,3,1,1,1,Pricing,0.0,Neutral
7989-CHGTL,1,19.6,19.6,Month-to-month,Mailed check,No,Yes,1,95,3448,Product dissatisfaction,North Palm Springs,California,New,Low,1,Standard,Low Risk,New Passives,3,1,1,1,Product & Offers,-0.4939,Negative
0334-GDDSO,3,81.35,233.7,Month-to-month,Electronic check,Fiber optic,Yes,1,73,2818,Service dissatisfaction,Ocotillo,California,New,High,4,Standard,Low Risk,High Risk,8,1,3,4,Customer Service,-0.4939,Negative
0578-SKVMF,22,83.3,1845.9,Month-to-month,Electronic check,Fiber optic,Yes,1,88,3804,Lack of self-service on Website,Seeley,California,Mid,High,4,Standard,Low Risk,High Risk,10,3,3,4,Customer Service,-0.3182,Negative
5564-NEMQO,1,75.3,75.3,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,1,67,4902,Network reliability,Thermal,California,New,High,3,Standard,Low Risk,High Risk,6,1,2,3,Network Quality,0.0,Neutral
9063-ZGTUY,61,19.4,1182.55,Month-to-month,Mailed check,No,Yes,1,82,4221,Don't know,Adelanto,California,Champion,Low,1,Standard,Low Risk,Loyal Basics,7,5,1,1,Other,0.0,Neutral
2957-LOLHO,12,45.4,518.9,Month-to-month,Bank transfer (automatic),DSL,Yes,1,68,2887,Don't know,Apple Valley,California,New,Medium,2,Standard,Low Risk,New Passives,5,2,1,2,Other,0.0,Neutral
7752-XUSCI,60,105.9,6396.45,Month-to-month,Electronic check,Fiber optic,Yes,1,84,4105,Don't know,Crestline,California,Loyal,Premium,7,High Value,Low Risk,Champions,15,5,5,5,Other,0.0,Neutral
4110-PFEUZ,1,69.55,69.55,Month-to-month,Mailed check,Fiber optic,Yes,1,73,2792,Competitor had better devices,Daggett,California,New,High,2,Standard,Low Risk,High Risk,5,1,1,3,Competitor,0.4404,Positive
0256-LTHVJ,28,81.05,2227.1,Month-to-month,Electronic check,Fiber optic,Yes,1,98,5201,Competitor had better devices,Ludlow,California,Mid,High,3,Standard,Low Risk,High Risk,9,3,2,4,Competitor,0.4404,Positive
0880-TKATG,4,101.15,385.9,Month-to-month,Electronic check,Fiber optic,Yes,1,84,4417,Competitor had better devices,Lucerne Valley,California,New,Premium,6,Standard,Low Risk,High Risk,10,1,4,5,Competitor,0.4404,Positive
3811-VBYBZ,7,99.8,673.25,Month-to-month,Electronic check,Fiber optic,Yes,1,98,2031,Competitor had better devices,Lytle Creek,California,New,Premium,6,Standard,Low Risk,High Risk,11,2,4,5,Competitor,0.4404,Positive
4640-UHDOS,13,55.95,734.35,Month-to-month,Electronic check,DSL,Yes,1,91,4498,Competitor had better devices,Phelan,California,Mid,Medium,3,Standard,Low Risk,High Risk,6,2,2,2,Competitor,0.4404,Positive
3583-EKAPL,1,55.0,55,Month-to-month,Electronic check,DSL,Yes,1,71,4877,Competitor had better devices,Redlands,California,New,Medium,3,Standard,Low Risk,High Risk,5,1,2,2,Competitor,0.4404,Positive
9399-APLBT,1,74.7,74.7,Month-to-month,Electronic check,Fiber optic,Yes,1,80,5980,Competitor had better devices,Rialto,California,New,High,3,Standard,Low Risk,High Risk,6,1,2,3,Competitor,0.4404,Positive
2359-KMGLI,24,80.25,1861.5,Month-to-month,Electronic check,Fiber optic,Yes,1,77,4418,Competitor had better devices,Running Springs,California,Mid,High,4,Standard,Low Risk,High Risk,10,3,3,4,Competitor,0.4404,Positive
0306-JAELE,5,96.1,453.4,Month-to-month,Electronic check,Fiber optic,Yes,1,66,4192,Competitor had better devices,Tecopa,California,New,Premium,5,Standard,Low Risk,High Risk,9,1,3,5,Competitor,0.4404,Positive
6227-HWPWX,15,69.0,994.8,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,1,73,5671,Competitor had better devices,Victorville,California,Mid,High,2,Standard,Low Risk,High Risk,6,2,1,3,Competitor,0.4404,Positive
0447-BEMNG,48,45.3,2145,Month-to-month,Bank transfer (automatic),DSL,Yes,1,65,4926,Price too high,Wrightwood,California,Loyal,Medium,4,Standard,Low Risk,Loyal Basics,9,4,3,2,Pricing,0.0,Neutral
